Reaction_No,Reactant_1_Name,Reactant_1_Short_Hand,Reactant_1_eq,Reactant_1_mmol,Reactant_2_Name,Reactant_2_eq,Catalyst_1_Short_Hand,Catalyst_1_eq,Ligand_Short_Hand,Ligand_eq,Reagent_1_Short_Hand,Reagent_1_eq,Solvent_1_Short_Hand,Product_Yield_PCT_Area_UV,Product_Yield_Mass_Ion_Count
19,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,NaHCO3,2.5,MeCN,69.22093433688,80639.82765705751
20,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaHCO3,2.5,MeCN,5.10255242912967,6992.255830387697
21,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,NaHCO3,2.5,MeCN,83.1906321409627,93978.65302501473
22,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,NaHCO3,2.5,MeCN,13.6803816727274,7748.875678221728
23,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaHCO3,2.5,MeCN,1.82471592243866,511.7345945587691
24,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,,,NaHCO3,2.5,MeCN,10.994082002904,49531.99193236164
25,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,CsF,2.5,MeCN,1.78675303928125,3366.805139531979
26,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,CsF,2.5,MeCN,4.35920116829955,14015.838653012372
27,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,CsF,2.5,MeCN,2.70970319261194,4001.5984936129703
28,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,CsF,2.5,MeCN,6.48652823683892,37162.73626856838
29,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,CsF,2.5,MeCN,2.10068590036068,2770.5078635229947
30,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,CsF,2.5,MeCN,3.32272956618858,9690.6075654321
31,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,CsF,2.5,MeCN,68.4440016475539,77744.35161688754
32,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,CsF,2.5,MeCN,5.83810017338261,6065.995417916585
33,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,CsF,2.5,MeCN,73.0197105076637,83146.07624823158
34,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,CsF,2.5,MeCN,13.1958561281243,4335.303848588511
35,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,CsF,2.5,MeCN,2.10098201074023,517.9272222688003
36,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,,,CsF,2.5,MeCN,10.218888659788,40428.33430056378
37,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,K3PO4,2.5,MeCN,3.00400388935548,4636.026037546893
38,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,K3PO4,2.5,MeCN,4.7313701172475,11853.52678067898
39,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,K3PO4,2.5,MeCN,2.5779797728445,3677.1402176716088
40,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,K3PO4,2.5,MeCN,5.8267255162714,36076.51022392463
41,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,K3PO4,2.5,MeCN,1.88178466778928,2827.8228377588443
42,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,K3PO4,2.5,MeCN,3.68610190848114,10833.313275864612
43,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,K3PO4,2.5,MeCN,53.3442477399675,63071.20299854804
44,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,K3PO4,2.5,MeCN,5.80499299101468,5469.157526058632
45,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,K3PO4,2.5,MeCN,60.6695362355924,63192.89681813961
46,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,K3PO4,2.5,MeCN,14.3933392770758,3661.0249033172454
47,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,K3PO4,2.5,MeCN,2.26866296700559,700.1501613916316
48,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,,,K3PO4,2.5,MeCN,10.0003095895518,39301.81570015984
49,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,KOH,2.5,MeCN,5.5969019412474,9067.922490089475
50,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,KOH,2.5,MeCN,4.82196101450088,11886.080251706297
51,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,KOH,2.5,MeCN,2.48590898286748,4111.191900439674
52,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,KOH,2.5,MeCN,6.45624672939622,38789.50200862312
53,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,KOH,2.5,MeCN,2.05952841211658,3781.084833336814
54,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,KOH,2.5,MeCN,3.21864784308256,8983.79833744841
55,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,KOH,2.5,MeCN,78.4174228193668,90780.3810652756
56,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,KOH,2.5,MeCN,8.93977444085733,8182.368759776755
57,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,KOH,2.5,MeCN,92.2242386465952,111091.47839928833
58,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,KOH,2.5,MeCN,14.2206754932286,7878.910117856517
59,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,KOH,2.5,MeCN,2.3455596596732,1067.0814588382377
60,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,,,KOH,2.5,MeCN,18.1597678162321,67813.47277129363
61,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,LiOtBu,2.5,MeCN,7.0788779533304,11614.379987424683
62,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,LiOtBu,2.5,MeCN,5.4483808696152,12111.775553424073
63,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,LiOtBu,2.5,MeCN,1.99054888114825,3362.715470780438
64,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,LiOtBu,2.5,MeCN,6.08313547812363,32427.2008441609
65,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,LiOtBu,2.5,MeCN,2.45280550760324,4340.437798036643
66,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,LiOtBu,2.5,MeCN,3.56636244233208,9150.864970562869
67,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,LiOtBu,2.5,MeCN,85.7734226150222,95117.7549181346
68,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,LiOtBu,2.5,MeCN,9.78109907191012,9542.2689937389
69,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,LiOtBu,2.5,MeCN,92.8344072930483,102595.85853211362
70,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,LiOtBu,2.5,MeCN,15.410461843799,6378.369333380235
71,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,LiOtBu,2.5,MeCN,2.42654830002009,1126.0007060482944
72,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,,,LiOtBu,2.5,MeCN,17.1759038844819,68542.4835177396
73,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,Et3N,2.5,MeCN,7.82316946168684,13319.805458275476
74,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,Et3N,2.5,MeCN,6.14029657993896,11270.706322042955
75,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,Et3N,2.5,MeCN,2.13374309510393,3474.5508331245883
76,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,Et3N,2.5,MeCN,5.05213723181808,26015.729807013628
77,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,Et3N,2.5,MeCN,1.98028622008522,3662.185744582736
78,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,Et3N,2.5,MeCN,4.46807824701397,11625.466171598817
79,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,Et3N,2.5,MeCN,78.957919561643,96066.2453620434
80,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,Et3N,2.5,MeCN,6.99621084980946,7068.834635536467
81,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,Et3N,2.5,MeCN,90.3017535211921,95108.57054827729
82,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,Et3N,2.5,MeCN,15.3607442237364,7148.572266724967
83,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,Et3N,2.5,MeCN,2.50927994144339,989.1130125788102
84,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,,,Et3N,2.5,MeCN,19.5108844387778,70616.91568667487
85,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,,2.5,MeCN,9.75908286686094,16376.611297220717
86,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,,2.5,MeCN,4.15312486926772,13262.256850242684
87,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,,2.5,MeCN,1.53223611769088,3331.0823034149616
88,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,,2.5,MeCN,5.79692311337673,30328.132315438466
89,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,,2.5,MeCN,2.64661537803254,4243.240794081221
90,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,,2.5,MeCN,4.42903768983828,12910.258084925134
91,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,,2.5,MeCN,66.8041426775335,75956.1999385143
92,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,,2.5,MeCN,6.42130859194569,6849.334331370883
93,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,,2.5,MeCN,78.2264541946686,83904.55303231288
94,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,,2.5,MeCN,13.9540113252438,6493.07578483087
95,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,,2.5,MeCN,2.1103931503683,809.6433904247472
96,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,,,,2.5,MeCN,8.28740356846637,28481.3613260311
97,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaOH,2.5,THF,33.7884226000348,46748.73878510851
98,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaOH,2.5,THF,8.08389406174481,9823.262021931167
99,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaOH,2.5,THF,61.2000810462792,65207.403432748666
100,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaOH,2.5,THF,69.9420492553848,237558.37612815073
101,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaOH,2.5,THF,7.2041205533469,13194.996728541826
102,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaOH,2.5,THF,79.46758861973,256433.68485545483
103,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,NaOH,2.5,THF,87.0599138552419,94998.11384440472
104,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaOH,2.5,THF,12.7035086532037,27853.76086821393
105,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,NaOH,2.5,THF,88.966679030845,85607.99392311752
106,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,NaOH,2.5,THF,27.9254607314512,16943.262750917776
107,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaOH,2.5,THF,6.1056671566937,10507.553254619037
108,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,,,NaOH,2.5,THF,19.9964908124804,51980.556095372005
109,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,NaHCO3,2.5,THF,66.7358043675789,66473.5802913171
110,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,NaHCO3,2.5,THF,8.11170620285451,12207.88724652932
111,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,NaHCO3,2.5,THF,57.4844178119219,71710.57922074593
112,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,NaHCO3,2.5,THF,61.8864221022104,263714.7607098264
113,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,NaHCO3,2.5,THF,2.22984552488196,5509.060136294502
114,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,NaHCO3,2.5,THF,70.4548780030343,229816.31359674578
115,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,NaHCO3,2.5,THF,79.8467095458273,87916.28587719276
116,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,NaHCO3,2.5,THF,9.59942646989435,32750.30986304387
117,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,NaHCO3,2.5,THF,80.76770744439,90618.74691573746
118,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,NaHCO3,2.5,THF,19.2431786290427,16490.130389029862
119,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,NaHCO3,2.5,THF,5.19691979065473,13373.463740717374
120,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,,,NaHCO3,2.5,THF,8.33159713932573,24316.817523744878
121,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,CsF,2.5,THF,39.1692242242229,55746.73810240659
122,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,CsF,2.5,THF,7.24196612769955,14962.327711702297
123,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,AmPhos,0.125,CsF,2.5,THF,44.9830827378729,46546.91070455745
124,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Cy)3,0.125,CsF,2.5,THF,50.9504664551199,221587.36834868402
125,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(o-Tol)3,0.125,CsF,2.5,THF,2.22798897357048,5386.735842498855
126,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,CataCXium A,0.125,CsF,2.5,THF,61.2922927162518,217114.7862056553
127,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,SPhos,0.125,CsF,2.5,THF,60.8255886967309,72183.6784026581
128,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dtbpf,0.125,CsF,2.5,THF,9.94355662711232,30859.04814618178
129,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,XPhos,0.125,CsF,2.5,THF,53.5151293766415,65529.004093441996
130,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,dppf,0.125,CsF,2.5,THF,18.1815583251708,11452.797506150033
131,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,Xantphos,0.125,CsF,2.5,THF,3.68200738399539,560.8328666621884
132,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,,,CsF,2.5,THF,8.41663218738277,25981.953313682563
133,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(tBu)3,0.125,K3PO4,2.5,THF,41.2342188004141,49419.38714865696
134,6-chloroquinoline,"1a, 6-Cl-Q",1,0.0004,"2a, Boronic Acid",1,Pd(OAc)2,0.0625,P(Ph)3 ,0.125,K3PO4,2.5,THF,6.65750525584473,10124.350757568789
