mol_name,E_HOMO,E_LUMO,V10_frequency,V10_intensity,V1_frequency,V1_intensity,V2_frequency,V2_intensity,V3_frequency,V3_intensity,V4_frequency,V4_intensity,V5_frequency,V5_intensity,V6_frequency,V6_intensity,V7_frequency,V7_intensity,V8_frequency,V8_intensity,V9_frequency,V9_intensity,chelpg_max,chelpg_mean,chelpg_min,chelpg_std,electronegativity,gap,hardness,mulliken_max,mulliken_mean,mulliken_min,mulliken_std,smiles
Aldehyde_1_24,-6.9923,-0.8547,912.74,19.6,0.256166,0.093656,67.22,6.05,206.34,0.02,226.32,0.75,329.5,0.78,331.67,0.14,353.19,7.47,544.74,5.1,843.92,20.44,0.383735,6.66666666678609e-08,-0.494751,0.19260857844145152,3.9235,6.1376,3.0688,0.124819,3.333333333221019e-08,-0.355233,0.11990906282491985,
Aldehyde_1_13,-6.4876,-2.1269,488.67,19.02,0.094244,0.016096,79.78,1.82,161.39,4.49,179.38,6.46,191.96,5.6,299.11,3.21,351.68,2.49,395.13,6.97,403.03,0.01,0.381601,-2.7755575615628915e-18,-0.468577,0.20691566692504096,4.30725,4.3607,2.18035,0.160627,6.666666666719593e-08,-0.277694,0.12177358816741755,
Aldehyde_1_28,-6.9564,-0.9763,884.28,0.07,0.322459,0.066115,69.9,6.09,126.34,1.85,308.16,0.46,336.11,6.45,454.53,2.59,660.4,10.37,775.3,0.83,801.33,5.55,0.285461,6.666666666742722e-08,-0.431461,0.10508289357649606,3.9663500000000003,5.9801,2.99005,0.103895,3.333333333336667e-08,-0.253922,0.09000535969423436,
Aldehyde_1_2,-7.2957,-2.2127,544.11,17.87,0.170216,0.020157,84.78,3.52,168.83,6.05,181.13,6.83,308.05,0.69,308.49,2.22,357.08,8.9,424.96,0.22,500.61,16.8,0.357206,6.666666666676225e-08,-0.436833,0.13284685387185718,4.7542,5.083,2.5415,0.169029,1.8503717077085942e-18,-0.274129,0.10229859637423151,
Aldehyde_1_38,-7.3972,-2.2521,568.82,0.1,0.097807,0.02952,116.99,4.38,187.87,4.86,210.33,2.42,266.16,4.38,410.17,4.43,455.19,3.05,457.22,4.91,528.39,7.12,0.435603,-3.333333333354014e-08,-0.436668,0.18599380232786833,4.82465,5.145099999999999,2.5725499999999997,0.370505,-2.3129646346357427e-18,-0.276419,0.13185792010917372,
Aldehyde_1_33,-7.3944,-2.296,466.39,6.63,0.051366,0.019185,95.71,6.05,137.4,5.13,190.92,0.78,198.04,3.61,245.79,1.75,326.6,3.81,388.47,0.1,414.15,13.87,0.412479,6.666666666511427e-08,-0.446598,0.16751838822070958,4.8452,5.0984,2.5492,0.330066,4.625929269271486e-19,-0.27935,0.1215479518623454,
Aldehyde_1_34,-7.2883,-2.271,534.67,0.08,0.078312,0.022557,112.97,5.02,160.64,3.76,172.8,1.32,248.61,4.51,326.64,4.27,411.72,6.41,446.34,1.95,447.6,5.03,0.360034,3.3333333334176205e-08,-0.428145,0.12735731421138238,4.77965,5.0173,2.50865,0.222265,3.333333333244148e-08,-0.268055,0.11191139898197278,
Aldehyde_1_35,-7.1085,-1.9353,521.94,0.28,0.095669,0.02967,33.44,0.12,116.46,4.79,184.85,6.78,194.98,5.72,252.3,2.15,358.61,1.0,446.45,5.35,449.71,0.84,0.439604,3.333333333229692e-08,-0.583086,0.21756775316153235,4.5219000000000005,5.1732000000000005,2.5866000000000002,0.223516,-3.333333333452315e-08,-0.359634,0.13603390467782436,
Aldehyde_1_37,-7.147,-2.1566,630.16,4.72,0.174783,0.028244,91.23,3.07,176.69,13.36,193.17,9.2,307.01,0.96,361.71,7.65,411.73,2.21,427.68,2.48,496.81,7.01,0.85868,1.069746143519031e-18,-0.684753,0.31100166172047466,4.6518,4.9904,2.4952,0.186069,-6.666666666765853e-08,-0.355538,0.12426185186544536,
Aldehyde_1_36,-6.6747,-1.9367,360.98,6.26,0.11794,0.012286,46.65,8.71,65.6,1.96,124.12,4.09,134.52,9.13,205.48,5.63,214.35,2.04,310.38,2.21,339.29,1.45,0.817266,-3.3333333329376803e-08,-0.685548,0.3290599546852847,4.3057,4.7379999999999995,2.3689999999999998,0.341901,-3.333333333313537e-08,-0.359045,0.17555666201513231,
Aldehyde_1_39,-7.3421,-2.4144,447.18,1.79,0.057327,0.0155,75.62,4.1,161.62,5.09,163.8,2.8,176.41,3.92,201.7,0.17,315.46,0.1,330.55,0.63,418.67,14.29,0.360823,3.3333333334176205e-08,-0.425022,0.12841271901379586,4.87825,4.9277,2.46385,0.162055,3.333333333475445e-08,-0.267323,0.10490845515330983,
Aldehyde_1_3,-7.1907,-2.2914,522.66,0.09,0.071153,0.016193,112.27,5.33,137.64,2.95,155.44,1.17,245.18,4.46,293.62,1.75,314.77,7.98,443.68,5.22,444.9,1.23,0.357368,-3.333333333325102e-08,-0.428379,0.1233706543507405,4.7410499999999995,4.8993,2.44965,0.157404,6.666666666580815e-08,-0.267339,0.107021925759658,
Aldehyde_2_20,-7.827,-1.6285,654.1,16.06,0.171739,0.052511,55.04,13.59,86.84,2.34,182.44,5.45,346.26,1.19,375.06,4.86,447.05,14.78,527.15,0.79,554.09,6.19,0.616339,3.333333333177651e-08,-0.439783,0.20502881453817626,4.72775,6.1985,3.09925,0.480543,-3.333333333244148e-08,-0.23596,0.12525191505741767,
Aldehyde_2_17,-7.4417,-2.0401,864.21,26.06,0.285007,0.05503,139.43,8.37,205.95,7.61,259.92,8.5,500.41,0.39,631.17,21.69,677.29,5.98,761.55,92.86,829.9,3.2,0.424403,-3.333333333452315e-08,-0.600473,0.1874271177714215,4.7409,5.4016,2.7008,0.170878,3.3333333332904074e-08,-0.27458,0.09489707035792039,
Aldehyde_2_18,-7.4468,-2.5648,766.29,41.16,0.17126,0.047149,132.27,3.37,178.95,8.5,267.67,12.56,473.61,0.25,503.18,2.59,636.45,41.73,637.79,8.51,687.5,14.35,0.334053,-4.625929269271486e-19,-0.502367,0.16824757399429424,5.0058,4.882,2.441,0.150091,3.333333333244148e-08,-0.27022,0.08402287101222371,
Aldehyde_2_30,-7.3037,-2.0494,610.82,31.2,0.171459,0.027351,99.59,5.29,190.45,4.09,201.24,8.42,336.83,4.66,388.03,2.0,425.8,6.23,432.06,0.46,519.09,15.61,0.429833,-3.333333333227524e-08,-0.452736,0.17691108010805556,4.67655,5.254300000000001,2.6271500000000003,0.318841,0.0,-0.277495,0.12032996781092942,
Aldehyde_2_26,-6.9567,-0.9774,884.12,0.07,0.322579,0.066106,70.24,6.09,128.21,1.88,308.11,0.46,336.96,6.43,454.56,2.59,659.87,10.39,775.87,0.83,801.65,5.58,0.286711,-3.3333333332904074e-08,-0.4316,0.10515764768210314,3.96705,5.979299999999999,2.9896499999999997,0.104052,3.3333333333597966e-08,-0.253946,0.0899415336885036,
Aldehyde_2_33,-7.4563,-2.5525,754.67,0.94,0.185409,0.04065,110.21,11.18,215.91,9.47,226.66,1.07,389.46,0.02,435.75,2.03,488.33,18.17,659.37,38.74,681.31,1.21,0.562048,1.9660199394403813e-18,-0.670542,0.28102802029654106,5.0044,4.9037999999999995,2.4518999999999997,0.143232,6.938893903907229e-19,-0.258119,0.08733933837742816,
Aldehyde_2_10,-6.9547,-0.8004,820.63,0.24,0.204239,0.04776,74.01,6.0,133.87,2.51,309.88,1.03,361.68,6.4,427.66,0.18,607.26,15.14,636.75,0.27,780.06,2.41,0.26847,-5.854691731421724e-19,-0.431902,0.10194258957187957,3.87755,6.1543,3.07715,0.110344,-2.312964634635743e-19,-0.256434,0.10276079343427326,
Aldehyde_2_32,-6.7714,-1.7242,521.31,17.79,0.171034,0.027813,98.56,1.51,190.88,5.99,199.97,4.67,329.17,0.31,386.8,107.83,391.58,2.82,427.78,20.37,430.68,0.18,0.434017,-3.333333333195721e-08,-0.555384,0.21389970437026906,4.2478,5.0472,2.5236,0.314209,3.333333333591093e-08,-0.381345,0.14345076437519055,
Aldehyde_2_36,-7.0137,-0.8708,639.29,2.88,0.131558,0.066471,98.87,6.07,105.88,0.5,197.05,2.3,221.09,0.03,251.61,0.36,298.25,6.24,338.73,0.72,454.06,0.19,0.332104,-3.3333333332759516e-08,-0.509069,0.17474813703579678,3.94225,6.1429,3.07145,0.132712,-9.999999999824964e-08,-0.360798,0.12538211971776791,
Aldehyde_2_28,-6.7823,-2.1213,536.45,3.89,0.086735,0.032574,117.03,6.74,136.43,0.03,229.13,9.64,262.45,0.03,338.12,104.34,366.07,5.15,456.32,8.49,509.78,3.89,0.402568,6.66666666653275e-08,-0.544385,0.19700514175802328,4.4518,4.661,2.3305,0.303198,-6.666666666592381e-08,-0.369718,0.13103050087063392,
Aldehyde_2_1,-7.2956,-2.2131,544.13,17.9,0.170217,0.020157,84.91,3.51,168.93,6.06,181.22,6.82,308.05,0.7,308.55,2.2,357.07,8.89,424.94,0.22,500.66,16.8,0.356567,6.666666666638639e-08,-0.436821,0.1328288900427742,4.7543500000000005,5.0825000000000005,2.5412500000000002,0.16887,-1.1564823173178713e-18,-0.27436,0.102315640444925,
Aldehyde_2_34,-7.1473,-2.157,630.14,4.72,0.174782,0.028243,91.33,3.06,176.79,13.37,193.22,9.2,307.06,0.96,361.72,7.65,411.71,2.21,427.72,2.49,496.86,7.0,0.858873,1.9804759684068547e-18,-0.685044,0.31109355957121587,4.652150000000001,4.9903,2.49515,0.186119,-3.333333333475445e-08,-0.355515,0.12426797854982964,
Aldehyde_2_35,-7.5767,-2.1303,655.12,5.37,0.200066,0.036799,102.63,0.26,132.6,8.38,171.13,11.05,192.67,11.13,347.92,5.54,349.66,1.13,491.68,5.33,650.92,0.85,0.580149,-3.333333333267278e-08,-0.745211,0.2675688277057446,4.8535,5.4464,2.7232,0.226896,-9.251858538542971e-19,-0.357362,0.1220446410096421,
Aldehyde_2_39,-7.7094,-2.8883,557.49,5.1,0.169573,0.020816,77.79,8.36,139.39,10.22,148.33,1.87,230.43,5.4,260.75,8.14,375.13,1.28,413.77,0.04,437.53,1.71,0.363582,-5.782411586589357e-19,-0.43045,0.16637514421413993,5.29885,4.8210999999999995,2.4105499999999997,0.246836,-6.938893903907229e-19,-0.261,0.11566802666877427,
Aldehyde_2_14,-7.3426,-2.4151,447.15,1.79,0.057327,0.0155,75.64,4.11,161.61,5.1,163.69,2.89,176.11,3.81,201.65,0.17,315.46,0.1,330.51,0.63,418.62,14.27,0.361301,-1.5034270125132329e-18,-0.425121,0.12831834674691717,4.87885,4.9275,2.46375,0.162075,-3.3333333333829265e-08,-0.267341,0.1048801874927581,
Aldehyde_2_24,-7.3827,-2.5112,431.65,3.26,0.031763,0.014328,96.46,6.67,155.71,4.27,157.79,2.11,189.79,0.77,205.44,0.13,252.73,5.22,352.34,2.6,398.67,8.0,0.361175,3.333333333596876e-08,-0.42105,0.12012799756509242,4.94695,4.871499999999999,2.4357499999999996,0.227881,-2.3129646346357427e-18,-0.264454,0.12358962972900163,
Aldehyde_2_15,-7.3941,-2.2963,466.38,6.63,0.051364,0.019184,95.85,6.01,137.55,5.16,190.95,0.79,198.08,3.61,245.79,1.76,326.59,3.81,388.46,0.1,414.13,13.87,0.412424,-3.3333333332557134e-08,-0.446572,0.1675007188640227,4.8452,5.097799999999999,2.5488999999999997,0.330031,-3.333333333406056e-08,-0.279403,0.12155002178484134,
Aldehyde_2_12,-6.9086,-0.973,702.24,18.52,0.12703,0.039827,121.09,3.24,220.38,0.02,229.54,0.0,273.12,3.48,345.99,0.01,406.56,2.03,445.66,0.08,514.92,0.7,0.371051,3.333333333282186e-08,-0.451651,0.11250171502002593,3.9408,5.9356,2.9678,0.107959,-3.3333333333829265e-08,-0.265594,0.10953719047711394,
Aldehyde_2_25,-6.9626,-0.9252,386.95,0.66,0.139237,0.052694,47.91,6.97,83.78,2.93,222.03,0.24,236.1,1.52,265.8,0.04,272.51,0.17,320.76,0.59,335.86,0.66,0.792905,2.1973164029039556e-18,-0.570368,0.27766730903242887,3.9439,6.0374,3.0187,0.117393,3.333333333197889e-08,-0.361198,0.13995478322867375,
Aldehyde_2_38,-6.6167,-1.65,435.34,0.5,0.157019,0.020308,69.82,0.05,126.86,8.28,178.64,2.55,184.2,2.08,239.95,0.52,260.19,7.8,336.83,5.54,397.1,7.08,0.525278,1.0000000000202266e-07,-0.472209,0.2062549131361063,4.13335,4.9666999999999994,2.4833499999999997,0.318419,-6.666666666650204e-08,-0.288746,0.13795258041653882,
Aldehyde_2_3,-7.7936,-2.6793,406.08,1.65,0.075359,0.018296,89.92,12.19,126.26,0.82,128.16,8.05,198.21,1.54,205.24,5.75,334.11,6.14,362.94,1.2,402.04,4.18,0.394845,1.3877787807814458e-18,-0.438399,0.1951392219015563,5.23645,5.1143,2.55715,0.279587,-3.3333333333829265e-08,-0.263325,0.12276241406079197,
Aldehyde_2_23,-7.6025,-2.7208,475.15,6.15,0.054045,0.025986,108.56,2.74,130.95,9.94,145.48,5.77,222.95,3.12,233.93,3.65,393.79,0.71,418.1,0.24,464.49,6.82,0.34857,-3.333333333429186e-08,-0.443174,0.16005200470159334,5.16165,4.8817,2.44085,0.233847,2.312964634635743e-19,-0.264783,0.10845424199299841,
Aldehyde_2_22,-6.5418,-1.8817,448.48,2.47,0.116357,0.021171,73.49,0.04,122.63,11.07,176.26,3.7,201.21,1.05,247.42,5.92,274.17,0.13,278.77,5.75,375.21,2.1,0.597444,-2.3129646346357427e-18,-0.583327,0.22847525750595796,4.21175,4.6601,2.33005,0.321125,-3.3333333331053704e-08,-0.273551,0.14424528766831896,
Aldehyde_2_31,-7.3187,-2.7132,418.32,0.05,0.115518,0.016407,49.93,0.7,77.47,4.4,150.54,4.09,156.12,1.4,157.06,2.23,247.17,13.66,277.49,3.86,331.2,4.77,0.6525,-6.666666666939325e-08,-0.506344,0.2276737733919898,5.01595,4.605499999999999,2.3027499999999996,0.21995,6.666666666673335e-08,-0.362766,0.1424283897886531,
Aldehyde_2_37,-7.1265,-0.9814,865.12,9.04,0.211928,0.050511,45.59,5.6,84.78,8.17,248.37,5.23,323.05,2.06,346.37,5.8,428.33,3.93,625.56,3.6,722.83,12.98,0.30254,-4.625929269271486e-19,-0.439323,0.12837445254249852,4.05395,6.1451,3.07255,0.115785,-4.625929269271486e-19,-0.319784,0.10349740359428647,
Aldehyde_2_11,-6.9985,-0.8732,372.7,1.62,0.121517,0.046912,72.84,0.94,93.84,2.84,113.55,4.25,190.04,0.78,231.06,2.7,254.06,0.16,272.41,1.53,347.82,2.84,0.354313,3.333333333270169e-08,-0.458498,0.1721188963140833,3.93585,6.1253,3.06265,0.123381,-6.666666666366866e-08,-0.382995,0.13282978302685328,
Aldehyde_2_16,-6.7008,-1.8838,317.65,1.13,0.033823,0.012256,70.05,0.4,116.62,9.32,135.32,3.44,155.36,0.3,168.54,0.02,188.14,2.72,244.43,0.25,281.95,5.55,0.607436,-6.666666666728267e-08,-0.457698,0.20700131343393624,4.2923,4.817,2.4085,0.312774,3.3333333332904074e-08,-0.280594,0.13954393521495198,
Aldehyde_2_13,-7.108,-1.9358,521.95,0.27,0.095675,0.02967,36.35,0.12,116.47,4.81,184.87,6.78,194.83,5.7,252.15,2.14,358.66,1.0,446.47,5.35,449.72,0.83,0.441331,-3.3333333335274866e-08,-0.585264,0.217996101964119,4.5219,5.1722,2.5861,0.223651,-3.3333333333597966e-08,-0.359661,0.1360615071557037,
Aldehyde_2_27,-7.0459,-0.9373,615.52,12.66,0.142283,0.038934,68.28,7.93,94.43,4.42,174.58,1.35,243.64,5.42,282.24,8.45,343.34,0.32,404.8,3.82,515.91,0.31,0.311912,3.3333333334176205e-08,-0.433943,0.15086318534845275,3.9916,6.108599999999999,3.0542999999999996,0.114214,2.9634859381270455e-19,-0.325864,0.1142955242361388,
Aldehyde_2_21,-7.5652,-2.5416,398.64,1.76,0.08927,0.014121,13.35,0.63,69.9,3.58,140.21,4.8,149.48,5.05,236.75,2.25,239.98,3.65,293.91,7.55,375.28,3.76,0.572924,6.666666666684899e-08,-0.429495,0.18103852043236607,5.0534,5.0236,2.5118,0.519093,-6.938893903907229e-19,-0.264126,0.14790265283741474,
Aldehyde_2_2,-6.6581,-1.9183,337.73,1.57,0.117621,0.012293,36.34,0.49,47.17,6.2,63.97,4.22,121.37,4.08,134.66,9.39,203.27,5.82,214.2,2.0,307.26,1.92,0.832152,-1.4456028966473392e-19,-0.71959,0.33156285588500517,4.2882,4.739800000000001,2.3699000000000003,0.332196,3.333333333244148e-08,-0.373873,0.17578589089110128,
Aldehyde_2_29,-5.618,-1.2691,305.08,1.24,0.096841,0.010845,46.54,0.05,92.32,1.55,109.0,0.74,134.02,2.33,159.8,5.38,206.89,2.07,228.69,4.67,250.42,0.27,0.349308,0.0,-0.473729,0.14355947659828108,3.44355,4.3489,2.17445,0.222525,3.333333333197889e-08,-0.305325,0.13760344934416668,
Aldehyde_1_7,-7.275,-2.3441,724.75,31.07,0.182114,0.040946,116.44,9.79,216.06,13.43,235.7,7.71,398.31,1.88,443.36,0.81,461.3,0.11,632.47,3.33,686.02,18.54,0.507296,6.66666666692776e-08,-0.639265,0.2465806914075591,4.80955,4.9309,2.46545,0.149747,-3.333333333325102e-08,-0.271861,0.09151468998396334,
Aldehyde_1_40,-7.1826,-2.001,704.8,31.06,0.175946,0.040248,115.12,4.6,220.09,7.74,235.39,7.3,417.32,0.08,442.61,0.3,466.48,6.72,631.65,0.36,663.11,24.04,0.350558,6.666666666598163e-08,-0.439724,0.1325397547621437,4.5918,5.1815999999999995,2.5907999999999998,0.136951,-1.1564823173178713e-18,-0.276307,0.09546127217774286,
Aldehyde_1_6,-7.7094,-2.8883,557.49,5.1,0.169573,0.020816,77.79,8.36,139.39,10.22,148.33,1.87,230.43,5.4,260.75,8.14,375.13,1.28,413.77,0.04,437.53,1.71,0.363582,-5.782411586589357e-19,-0.43045,0.16637514421413993,5.29885,4.8210999999999995,2.4105499999999997,0.246836,-6.938893903907229e-19,-0.261,0.11566802666877427,
Aldehyde_1_46,-7.1799,-2.1687,461.05,8.23,0.067556,0.023594,96.64,6.19,128.17,0.61,155.32,6.88,181.75,0.06,234.3,2.56,271.59,11.85,281.64,1.8,452.51,2.04,0.785788,3.333333333706741e-08,-0.759366,0.3396404613191247,4.6743,5.0112000000000005,2.5056000000000003,0.338695,3.333333333579528e-08,-0.301681,0.14331280753326905,
Aldehyde_1_50,-7.5442,-2.4393,376.77,1.66,0.065847,0.015216,9.82,0.2,88.95,6.07,141.43,5.48,149.32,1.61,233.73,6.8,247.55,4.7,310.15,2.47,336.6,0.31,0.584634,1.0408340855860842e-18,-0.427548,0.18815582313567142,4.99175,5.104900000000001,2.5524500000000003,0.516189,6.666666666719593e-08,-0.265664,0.15334446225453768,
Aldehyde_1_41,-6.2821,-1.8375,568.46,2.01,0.108825,0.019074,88.25,1.63,165.1,13.57,189.63,5.7,250.25,2.05,297.71,0.01,376.21,2.66,410.06,7.33,437.66,4.67,0.472087,-3.333333333188493e-08,-0.523121,0.22016300631663385,4.0598,4.444599999999999,2.2222999999999997,0.230246,2.544261098099317e-18,-0.296121,0.13270627224659054,
