Product,True_Yield,DFT_Yield,Amine_SMILES,Bromide_SMILES,Catalysts_SMILES,Base_SMILES,Solvent_SMILES
b,0,2,NCC1CCCCC1,Brc1cc2nccnc2cc1,[P](C(C)(C)C)(C(C)(C)C)C1=C(C)C(C)=C(C)C(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,N\2=C1\N(CCCCC1)CCC/2,O1CCOCC1
b,83,63,NCC1CCCCC1,Brc1cc2nccnc2cc1,[P](C(C)(C)C)(C(C)(C)C)C1=C(C)C(C)=C(C)C(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
c,7,2,NCC1CCCCC1,Brc1cc(C(F)(F)F)cc(C(F)(F)F)c1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CN3C4=CC=CC=C4,C(=O)([O-])[O-].[K+].[K+],Cc1ccccc1
c,13,3,NCC1CCCCC1,Brc1cc(C(F)(F)F)cc(C(F)(F)F)c1,[P](C1CCCCC1)(C2CCCCC2)C3=CC4=C(C=CC=C4)N3C5=CC=CC=C5,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
c,72,33,NCC1CCCCC1,Brc1cc(C(F)(F)F)cc(C(F)(F)F)c1,[P](C1CCCCC1)(C2CCCCC2)C3=CC4=C(C=CC=C4)N3C5=CC=CC=C5,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
c,7,2,NCC1CCCCC1,Brc1cc(C(F)(F)F)cc(C(F)(F)F)c1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,C(=O)([O-])[O-].[K+].[K+],Cc1ccccc1
c,21,21,NCC1CCCCC1,Brc1cc(C(F)(F)F)cc(C(F)(F)F)c1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
c,14,11,NCC1CCCCC1,Brc1cc(C(F)(F)F)cc(C(F)(F)F)c1,[P](C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(OC)C=CC(OC)=C3C4=C(N(C)C)C=CC=C4N(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
c,17,14,NCC1CCCCC1,Brc1cc(C(F)(F)F)cc(C(F)(F)F)c1,[P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3C4=C(OC)C=CC=C4OC,[Na+].[O-]C(C)(C)C,Cc1ccccc1
c,97,34,NCC1CCCCC1,Brc1cc(C(F)(F)F)cc(C(F)(F)F)c1,[P](C(C)(C)C)(C(C)(C)C)C1=C(OC)C=CC(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,[Na+].[O-]C(C)(C)C,Cc1ccccc1
c,100,46,NCC1CCCCC1,Brc1cc(C(F)(F)F)cc(C(F)(F)F)c1,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=C(OC)C=CC(OC)=C7C8=C(C(C)C)C=C(C(C)C)C=C8C(C)C,[Na+].[O-]C(C)(C)C,O1CCOCC1
c,92,47,NCC1CCCCC1,Brc1cc(C(F)(F)F)cc(C(F)(F)F)c1,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=C(OC)C=CC(OC)=C7C8=C(C(C)C)C=C(C(C)C)C=C8C(C)C,[Na+].[O-]C(C)(C)C,Cc1ccccc1
c,99,49,NCC1CCCCC1,Brc1cc(C(F)(F)F)cc(C(F)(F)F)c1,[P](C(C)(C)C)(C(C)(C)C)C1=C(C)C(C)=C(C)C(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,[Na+].[O-]C(C)(C)C,O1CCOCC1
d,3,1,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,CC(C)(C)[P](C(C)(C)C)C1=CC=CC=C1C2=CC=CC=C2,[Na+].[O-]C(C)(C)C,O1CCOCC1
d,17,19,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=CC=NN7C8=C(C9=CC=CC=C9)N(C%10=CC=CC=C%10)N=C8C%11=CC=CC=C%11,C(=O)([O-])[O-].[K+].[K+],O1CCOCC1
d,25,35,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=CC=NN7C8=C(C9=CC=CC=C9)N(C%10=CC=CC=C%10)N=C8C%11=CC=CC=C%11,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
d,2,1,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CN3C4=CC=CC=C4,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
d,3,2,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC4=C(C=CC=C4)N3C5=CC=CC=C5,C(=O)([O-])[O-].[K+].[K+],Cc1ccccc1
d,2,1,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CN3C4=CC=CC=C4OC,[Na+].[O-]C(C)(C)C,O1CCOCC1
d,6,9,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=C(OC)C=CC=C7C8=C(C(C)C)C=C(C(C)C)C(C9=C(F)C(F)=C(CCCC)C(F)=C9F)=C8C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
d,85,40,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1CCCCC1)(C2CCCCC2)C3=C(OC)C=CC(OC)=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,C(=O)([O-])[O-].[K+].[K+],O1CCOCC1
d,26,3,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1CCCCC1)(C2CCCCC2)C3=C(OC)C=CC(OC)=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,[Na+].[O-]C(C)(C)C,O1CCOCC1
d,2,2,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1CCCCC1)(C2CCCCC2)C3=C(OC)C=CC(OC)=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,N\2=C1\N(CCCCC1)CCC/2,O1CCOCC1
d,83,39,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1CCCCC1)(C2CCCCC2)C3=C(OC)C=CC(OC)=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
d,89,36,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1CCCCC1)(C2CCCCC2)C3=C(OC)C=CC(OC)=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,C(=O)([O-])[O-].[K+].[K+],Cc1ccccc1
d,23,12,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(N(C)C)C=CC=C4N(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
d,1,1,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,[Na+].[O-]C(C)(C)C,O1CCOCC1
d,5,1,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(OC)C=CC(OC)=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,[Na+].[O-]C(C)(C)C,Cc1ccccc1
d,2,1,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3C4=CC=CC=C4N(C)C,[Na+].[O-]C(C)(C)C,O1CCOCC1
d,6,6,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3C4=CC=CC=C4N(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
d,5,5,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(OC(C)C)C=CC=C4OC(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
d,0,1,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,[Na+].[O-]C(C)(C)C,Cc1ccccc1
d,5,3,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(OC)C=CC(OC)=C3C4=C(N(C)C)C=CC=C4N(C)C,[Na+].[O-]C(C)(C)C,Cc1ccccc1
d,2,1,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3C4=C(OC)C=CC=C4OC,[Na+].[O-]C(C)(C)C,O1CCOCC1
d,17,18,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C(C)(C)C)(C(C)(C)C)C1=C(OC)C=CC(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
d,10,17,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=C(OC)C=CC(OC)=C7C8=C(C(C)C)C=C(C(C)C)C=C8C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
d,2,7,NC(=O)CCC,Brc1c(C(F)(F)F)cccc1,[P](C(C)(C)C)(C(C)(C)C)C1=C(C)C(C)=C(C)C(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
e,2,0,C1(=O)NCCO1,c12c(cc(cc1)Br)sc(n2)C,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,N\2=C1\N(CCCCC1)CCC/2,Cc1ccccc1
e,81,4,C1(=O)NCCO1,c12c(cc(cc1)Br)sc(n2)C,[P](C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(OC)C=CC(OC)=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,C(=O)([O-])[O-].[K+].[K+],O1CCOCC1
e,0,1,C1(=O)NCCO1,c12c(cc(cc1)Br)sc(n2)C,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
e,16,3,C1(=O)NCCO1,c12c(cc(cc1)Br)sc(n2)C,[P](C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(OC)C=CC(OC)=C3C4=C(N(C)C)C=CC=C4N(C)C,C(=O)([O-])[O-].[K+].[K+],Cc1ccccc1
e,3,4,C1(=O)NCCO1,c12c(cc(cc1)Br)sc(n2)C,[P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3C4=C(OC)C=CC=C4OC,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
e,99,55,C1(=O)NCCO1,c12c(cc(cc1)Br)sc(n2)C,[P](C(C)(C)C)(C(C)(C)C)C1=C(OC)C=CC(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
e,95,41,C1(=O)NCCO1,c12c(cc(cc1)Br)sc(n2)C,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=C(OC)C=CC(OC)=C7C8=C(C(C)C)C=C(C(C)C)C=C8C(C)C,N\2=C1\N(CCCCC1)CCC/2,O1CCOCC1
e,99,57,C1(=O)NCCO1,c12c(cc(cc1)Br)sc(n2)C,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=C(OC)C=CC(OC)=C7C8=C(C(C)C)C=C(C(C)C)C=C8C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
e,99,55,C1(=O)NCCO1,c12c(cc(cc1)Br)sc(n2)C,[P](C(C)(C)C)(C(C)(C)C)C1=C(C)C(C)=C(C)C(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
f,29,29,C1CCCNCC1,c1cccc(c1CO[C@H]1CCCCO1)Br,[P](C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(OC)C=CC(OC)=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
f,11,30,C1CCCNCC1,c1cccc(c1CO[C@H]1CCCCO1)Br,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(OC(C)C)C=CC=C4OC(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
f,48,43,C1CCCNCC1,c1cccc(c1CO[C@H]1CCCCO1)Br,[P](C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(OC)C=CC(OC)=C3C4=C(N(C)C)C=CC=C4N(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
f,7,0,C1CCCNCC1,c1cccc(c1CO[C@H]1CCCCO1)Br,[P](C(C)(C)C)(C(C)(C)C)C1=C(OC)C=CC(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
f,5,3,C1CCCNCC1,c1cccc(c1CO[C@H]1CCCCO1)Br,[P](C(C)(C)C)(C(C)(C)C)C1=C(OC)C=CC(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
f,0,0,C1CCCNCC1,c1cccc(c1CO[C@H]1CCCCO1)Br,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=C(OC)C=CC(OC)=C7C8=C(C(C)C)C=C(C(C)C)C=C8C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
f,5,2,C1CCCNCC1,c1cccc(c1CO[C@H]1CCCCO1)Br,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=C(OC)C=CC(OC)=C7C8=C(C(C)C)C=C(C(C)C)C=C8C(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
f,0,0,C1CCCNCC1,c1cccc(c1CO[C@H]1CCCCO1)Br,[P](C(C)(C)C)(C(C)(C)C)C1=C(C)C(C)=C(C)C(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
f,4,2,C1CCCNCC1,c1cccc(c1CO[C@H]1CCCCO1)Br,[P](C(C)(C)C)(C(C)(C)C)C1=C(C)C(C)=C(C)C(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
g,93,54,C1CNCCC1,Brc1cnc(C)cc1,CC(C)(C)[P](C(C)(C)C)C1=CC=CC=C1C2=CC=CC=C2,[Na+].[O-]C(C)(C)C,O1CCOCC1
g,49,40,C1CNCCC1,Brc1cnc(C)cc1,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=CC=NN7C8=C(C9=CC=CC=C9)N(C%10=CC=CC=C%10)N=C8C%11=CC=CC=C%11,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
g,70,66,C1CNCCC1,Brc1cnc(C)cc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CN3C4=CC=CC=C4,[Na+].[O-]C(C)(C)C,O1CCOCC1
g,67,68,C1CNCCC1,Brc1cnc(C)cc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC4=C(C=CC=C4)N3C5=CC=CC=C5,[Na+].[O-]C(C)(C)C,Cc1ccccc1
g,82,73,C1CNCCC1,Brc1cnc(C)cc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CN3C4=CC=CC=C4OC,[Na+].[O-]C(C)(C)C,O1CCOCC1
g,42,9,C1CNCCC1,Brc1cnc(C)cc1,[P]([C@@]12C[C@@H]3C[C@H](C2)C[C@H](C1)C3)([C@@]4(C[C@H](C5)C6)C[C@H]6C[C@H]5C4)C7=C(OC)C=CC=C7C8=C(C(C)C)C=C(C(C)C)C(C9=C(F)C(F)=C(CCCC)C(F)=C9F)=C8C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
g,44,27,C1CNCCC1,Brc1cnc(C)cc1,[P](C1CCCCC1)(C2CCCCC2)C3=C(OC)C=CC(OC)=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,[Na+].[O-]C(C)(C)C,Cc1ccccc1
g,20,12,C1CNCCC1,Brc1cnc(C)cc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(N(C)C)C=CC=C4N(C)C,C(=O)([O-])[O-].[K+].[K+],O1CCOCC1
g,68,64,C1CNCCC1,Brc1cnc(C)cc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=CC=CC=C4,[Na+].[O-]C(C)(C)C,O1CCOCC1
g,2,6,C1CNCCC1,Brc1cnc(C)cc1,[P](C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(OC)C=CC(OC)=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,C(=O)([O-])[O-].[K+].[K+],CCC(C)(C)O
g,60,56,C1CNCCC1,Brc1cnc(C)cc1,[P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3C4=CC=CC=C4N(C)C,[Na+].[O-]C(C)(C)C,O1CCOCC1
g,91,75,C1CNCCC1,Brc1cnc(C)cc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(OC(C)C)C=CC=C4OC(C)C,[Na+].[O-]C(C)(C)C,O1CCOCC1
g,93,77,C1CNCCC1,Brc1cnc(C)cc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(OC(C)C)C=CC=C4OC(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
g,13,12,C1CNCCC1,Brc1cnc(C)cc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(OC(C)C)C=CC=C4OC(C)C,C(=O)([O-])[O-].[K+].[K+],Cc1ccccc1
g,89,76,C1CNCCC1,Brc1cnc(C)cc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(OC(C)C)C=CC=C4OC(C)C,[Na+].[O-]C(C)(C)C,Cc1ccccc1
g,5,2,C1CNCCC1,Brc1cnc(C)cc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(OC(C)C)C=CC=C4OC(C)C,N\2=C1\N(CCCCC1)CCC/2,Cc1ccccc1
g,99,77,C1CNCCC1,Brc1cnc(C)cc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(OC)C=CC=C4OC,[Na+].[O-]C(C)(C)C,O1CCOCC1
g,45,45,C1CNCCC1,Brc1cnc(C)cc1,[P](C1CCCCC1)(C2CCCCC2)C3=CC=CC=C3C4=C(C(C)C)C=C(C(C)C)C=C4C(C)C,[Na+].[O-]C(C)(C)C,Cc1ccccc1
g,78,53,C1CNCCC1,Brc1cnc(C)cc1,[P](C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1)(C2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C3=C(OC)C=CC(OC)=C3C4=C(N(C)C)C=CC=C4N(C)C,[Na+].[O-]C(C)(C)C,O1CCOCC1
g,71,60,C1CNCCC1,Brc1cnc(C)cc1,[P](CC)(CC)C1=CC=CC=C1C2=C(N(C)C)C=CC=C2N(C)C,[Na+].[O-]C(C)(C)C,O1CCOCC1
g,33,26,C1CNCCC1,Brc1cnc(C)cc1,[P](C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3C4=C(OC)C=CC=C4OC,[Na+].[O-]C(C)(C)C,O1CCOCC1
g,37,19,C1CNCCC1,Brc1cnc(C)cc1,[P](C(C)(C)C)(C(C)(C)C)C1=C(OC)C=CC(C)=C1C2=C(C(C)C)C=C(C(C)C)C=C2C(C)C,[Na+].[O-]C(C)(C)C,CCC(C)(C)O
