SMILES,molar_mass,log_p_sat
C(=O)(N(=O)(=O))C(=O)C(OO)(C(ON(=O)(=O)))OC(=O),267.981508948,-4.267071399813788
C(=O)(N(=O)(=O))C(=O)C(OO)(C(ON(=O)(=O)))OC(=O)C(=O),295.976423568,-4.67983086935326
C(=O)(N(=O)(=O))C(=O)C(OO)(C(OO))C(=O),222.99643074000002,-4.61766762456724
C(=O)(N(=O)(=O))C(=O)C(OO)(C(OO))OC(=O),238.99134536000003,-4.964364010912854
C(=O)(N(=O)(=O))C(=O)C(OO)(C(OO))OC(=O)C(=O),266.98625998000006,-5.494871226625843
C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O),191.00660150000002,-2.5012760292520952
C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)(OO),222.99643074000002,-4.711052153834335
C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)(OON(=O)(=O)),267.981508948,-2.1389437554231265
C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)C(=O)C(=O),246.99643074000002,-3.3248402875944736
C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(=O)OOC(=O),250.99134536000003,-3.189343628578199
C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(O)C(=O)(OON(=O)(=O)),297.992073632,-4.453958844987691
C(=O)(N(=O)(=O))C(=O)C(OO)(C)C(O)C(=O)C(=O),249.01208080400002,-4.648217823358829
C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O),207.00151612000002,-3.4851021810972327
C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O)C(=O),234.99643074000002,-3.876659478157564
C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O)C(=O)(OO),266.98625998000006,-6.151415566705277
C(=O)(N(=O)(=O))C(=O)C(OO)(C)OC(=O)C(=O)(OON(=O)(=O)),311.971338188,-3.48993050356614
C(=O)(N(=O)(=O))C(=O)C(OO)(C)OOC(=O),222.99643074000002,-3.118575711243496
C(=O)(N(=O)(=O))C(=O)C(OO)(C)OOC(=O)C(=O),250.99134536000003,-3.9612438969442887
C(=O)(N(=O)(=O))C(=O)C(OO)(C1(O))OOC1C(=O),250.99134536000003,-5.353383281533089
C(=O)(N(=O)(=O))C(=O)C(OO)C(=O),176.99095143600002,-2.1057947408579163
C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)(O),192.98586605600002,-4.047366185231767
C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)(OO),208.98078067600002,-3.941762946138027
C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(O)(C)C(=O)(O),265.006995424,-6.32128983989928
C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(O)(C)C(=O)(OO),281.001910044,-6.102948606608735
C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(O)(C)C(=O)(OON(=O)(=O)),325.98698825199995,-4.11290489818912
C(=O)(N(=O)(=O))C(=O)C(OO)C(=O)C(OO),222.99643074000002,-3.9186878080889262
C(=O)(N(=O)(=O))C(=O)C(OO)C(ON(=O)(=O)),223.99167970800002,-2.631713115097869
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O),192.98586605600002,-2.57154122648442
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O),220.98078067600002,-2.7382614526474622
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)(OO),252.97060991600003,-5.350501913269752
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)(OON(=O)(=O)),297.955688124,-2.642065152999546
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)C(ON(=O)(=O)),295.976423568,-4.215708686744536
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(=O)C(OO),266.98625998000006,-5.9377992793048895
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(ON(=O)(=O)),267.981508948,-3.5350252483515763
C(=O)(N(=O)(=O))C(=O)C(OO)OC(=O)C(OO),238.99134536000003,-4.389464617633139
C(=O)(N(=O)(=O))C(=O)C(OO)OOC(=O),208.98078067600002,-2.5331323796458904
C(=O)(N(=O)(=O))C(=O)C1(C(=O)(O))OOC(C1(O))C(=O),262.99134536,-8.254590376970302
C(=O)(N(=O)(=O))C(=O)C1(C(=O))OOC(C1(O))C(=O),246.99643074000002,-5.417092328087733
C(=O)(N(=O)(=O))C(=O)C1(C(O))OOC(C1(=O))C(=O),246.99643074000002,-3.0752997459619302
C(=O)(N(=O)(=O))C(=O)C1(C(O))OOC(C1(O))C(=O),249.01208080400002,-7.253884995123431
C(=O)(N(=O)(=O))C(=O)C1(C(ON(=O)(=O)))OOC(C1(=O))C(=O),291.981508948,-1.9848079582371656
C(=O)(N(=O)(=O))C(=O)C1(C(ON(=O)(=O)))OOC(C1(O))C(=O),293.997159012,-5.984371513718614
C(=O)(N(=O)(=O))C(=O)C1(C(OO))OOC(C1(=O))C(=O),262.99134536,-4.155218283107489
C(=O)(N(=O)(=O))C(=O)C1(C(OO))OOC(C1(O))C(=O),265.006995424,-6.749383570223203
C(=O)(N(=O)(=O))C(=O)C1(C)OC1(OO)C(=O),219.00151612000002,-3.174018008167911
C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O),231.00151612000002,-2.101823516502324
C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O)(O),246.99643074000002,-4.025756212791128
C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O)(OO),262.99134536,-4.712997035956222
C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(=O))C(=O)(OON(=O)(=O)),307.976423568,-2.561615892965286
C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(O)(O))C(=O),249.01208080400002,-5.195798765889548
C(=O)(N(=O)(=O))C(=O)C1(C)OOC(C1(O))C(=O),233.01716618400002,-4.7967485567720125
C(=O)(N(=O)(=O))C(=O)C1(C)OOC(OO)(C1(=O))C(=O),262.99134536,-3.5102025471832428
C(=O)(N(=O)(=O))C(=O)C1(O)OOC(ON(=O)(=O))(C(=O))C1(O)C,309.992073632,-5.77779967326297
C(=O)(N(=O)(=O))C(=O)C1(O)OOC(OO)(C(=O))C1(O)C,281.00191004400006,-1.6480491674006157
C(=O)(N(=O)(=O))C(=O)C1OC1C(=O)C(OO),219.00151612000002,-4.602875783610014
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O),216.98586605600002,-2.0583891978463664
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)(O),232.98078067600002,-3.905246399301301
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)(OO),248.97569529600003,-4.691896930485844
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)(OON(=O)(=O)),293.960773504,-1.855861862336412
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(=O))C(=O)C(ON(=O)(=O)),291.981508948,-2.4373503277880832
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O)(O))C(=O),234.99643074000002,-7.219583960827482
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O)(OO))C(=O),250.99134536000003,-6.283951826960747
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O))C(=O),219.00151612000002,-4.675500678026434
C(=O)(N(=O)(=O))C(=O)C1OOC(C1(O))C(=O)C(ON(=O)(=O)),293.997159012,-6.372373698090473
C(=O)(N(=O)(=O))C(=O)C1OOC(OO)(C1(O))C(=O)(OON(=O)(=O)),327.966252808,-4.682473362736945
C(=O)(N(=O)(=O))C(=O)CC(=O)(O),160.99603681600001,-3.386914537301075
C(=O)(N(=O)(=O))C(=O)CC(=O)(OO),176.99095143600002,-3.885872545859668
C(=O)(N(=O)(=O))C(=O)CC(=O)C(=O)C(=O)(O),216.98586605600002,-3.7475689054015824
C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C(OO))C(=O)(OON(=O)(=O)),325.98698825199995,-5.201066949225391
C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C)C(=O)(O),233.01716618400002,-5.862207573756421
C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C)C(=O)(OO),249.01208080400002,-6.059249048393547
C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(C)C(=O)(OON(=O)(=O)),293.997159012,-3.394617382645124
C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(O)C(=O)(O),234.99643074000002,-3.9882411253221455
C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(O)C(=O)(OO),250.99134536000003,-10.362437663320382
C(=O)(N(=O)(=O))C(=O)CC(=O)C(O)(O)C(=O)(OON(=O)(=O)),295.976423568,-2.355266072552808
C(=O)(N(=O)(=O))C(=O)CC(=O)C(OO),191.00660150000002,-4.21454541152827
C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O),204.98586605600002,-2.3459197646934293
C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(=O),232.98078067600002,-3.161317577514668
C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(=O)(O),248.97569529600003,-5.022893539386536
C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(=O)C(ON(=O)(=O)),307.976423568,-6.482948438524485
C(=O)(N(=O)(=O))C(=O)CC(=O)OOC(=O)C(OO),250.99134536000003,-4.165628441141058
C(=O)(N(=O)(=O))C(=O)CC(C(=O)(O))OOC(=O),234.99643074000002,-6.084779600827894
C(=O)(N(=O)(=O))C(=O)CC(O)C(=O),175.01168688,-4.343263192378942
C(=O)(N(=O)(=O))C(=O)CC1(C(ON(=O)(=O)))OOC(=O)C1(=O),291.981508948,-4.52847171571399
C(=O)(N(=O)(=O))C(=O)CC1(C(OO))OOC(=O)C1(=O),262.99134536,-6.849223328319919
C(=O)(N(=O)(=O))C(=O)CC1(O)OOC(=O)C1(O)C(ON(=O)(=O)),309.992073632,-7.0292740186096605
C(=O)(N(=O)(=O))C(=O)CC1(O)OOC(=O)C1(O)C(OO),281.001910044,-8.033472004792266
C(=O)(N(=O)(=O))C(=O)CC1(ON(=O)(=O))OOC(=O)C1(O)C(OO),325.98698825199995,-6.231530421426924
C(=O)(N(=O)(=O))C(=O)OC(=O),146.98038675200002,-0.2976961512545509
C(=O)(N(=O)(=O))C(=O)OC(=O)(O),162.97530137200002,-1.9442013404675196
C(=O)(N(=O)(=O))C(=O)OC(=O)C,160.99603681600001,-1.3042907287909202
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)(OO),206.96513061200002,-3.168427496793305
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(=O)C,216.98586605600002,-1.4371007366666977
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(=O)C(OO),248.97569529600003,-2.9404365820987324
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(C(O))C(=O)(O),262.99134536,-6.120260196886759
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(C)C(=O),231.00151612000002,-3.054033965404314
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(C)C(=O)(O),246.99643074000002,-4.196907951635966
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O),204.98586605600002,-2.580374639112257
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C(=O)(O))C(=O),276.97060991600006,-6.842544437737304
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C(ON(=O)(=O)))C(=O),307.976423568,-4.20084205874903
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C(OO))C(=O),278.98625998000006,-3.37234991080618
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)(C)C(=O),246.99643074000002,-3.064757742204552
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)C(=O)(O),248.97569529600003,-5.011533332924034
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(O)C(=O)C(ON(=O)(=O)),307.976423568,-3.4586854518296613
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(ON(=O)(=O))(C)C(=O),291.981508948,-3.193374195140444
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(ON(=O)(=O))C(=O)C,291.981508948,-3.548771337167085
C(=O)(N(=O)(=O))C(=O)OC(=O)C(=O)C(OO)(C)C(=O)(O),278.98625998,-5.768190355586306
C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))=C(N(=O)(=O))C(=O)(O),291.981508948,-7.7752172057163955
C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))=CC(=O),231.00151612000002,-5.683796391962861
C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))=CC(=O)(O),246.99643074000002,-6.827450792706194
C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))C(=O)(O),234.99643074000002,-6.171705745789553
C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(O))C(=O)C(=O)(O),262.99134536,-7.407755765592578
C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(ON(=O)(=O)))=CC(=O)(O),291.981508948,-5.642889269142448
C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(ON(=O)(=O)))C(=O)C(=O)(O),307.976423568,-5.997612642730877
C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(OO))=CC(=O)(O),262.99134536,-6.363869011644538
C(=O)(N(=O)(=O))C(=O)OC(=O)C(C(OO))C(=O),234.99643074000002,-4.803892082792824
C(=O)(N(=O)(=O))C(=O)OC(=O)C(C)=CC(=O)(O),231.00151612000002,-4.298556324705653
C(=O)(N(=O)(=O))C(=O)OC(=O)C(C)C(=O)C(=O)(O),246.99643074000002,-4.732155104241784
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(=O)(OO))C(O)C(=O)(O),310.97608922,-7.062627782042686
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(=O))C(OO)C(=O),278.98625998000006,-6.428676194749766
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(O))C(=O),234.99643074000002,-4.245521135596792
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(O))C(=O)C(=O)(O),278.98625998,-6.4053727553344935
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(ON(=O)(=O)))C(=O)C(=O),307.976423568,-3.5549325987730964
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C(OO))C(=O)C(=O)(O),294.98117460000003,-7.191263778937637
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(=O),219.00151612000002,-2.8294449414787914
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(O)C(=O),249.01208080400002,-6.565651732084938
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(O)C(=O)(O),265.006995424,-6.556776975732364
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(ON(=O)(=O))C(=O),293.997159012,-5.071756023723015
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(OO)C(=O)(O),281.001910044,-7.099112784465361
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(C)C(OO)C(=O)(OO),296.996824664,-5.026432138917577
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)(N(=O)(=O))C(O)C(=O)(O),295.976423568,-6.230238989918155
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(=O)C(=O),232.98078067600002,-2.607654844638796
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(=O)C(=O)C(OO),278.98625998,-6.288745669300341
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)(C(=O)(O))C(=O)(O),294.98117460000003,-10.301669026123736
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)(C(=O)(O))C(ON(=O)(=O)),325.986988252,-7.506570669158388
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)(C(OO))C(=O),281.00191004400006,-6.526345919297234
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)(C)C(=O)(O),265.006995424,-6.314287209656761
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)(N(=O)(=O))C(=O)(O),295.976423568,-6.693710173815479
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(O)C(=O)C(OO),281.001910044,-8.995385107957647
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(ON(=O)(=O))(C(O))C(=O),309.992073632,-6.168537708933857
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(ON(=O)(=O))(C)C(=O),293.997159012,-5.2940832223952485
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(ON(=O)(=O))(C)C(=O)(OO),325.98698825199995,-7.037008690153214
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(OO)(C(O))C(=O),281.00191004400006,-8.357281986121937
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(OO)(C)C(=O)(O),281.001910044,-6.784124778901164
C(=O)(N(=O)(=O))C(=O)OC(=O)C(O)C(OO)C(=O)(OON(=O)(=O)),327.966252808,-4.918839932921057
C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))(C)C(O)C(=O)(O),309.992073632,-5.900054723583732
C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))(C)C(O)C(=O)(OO),325.98698825199995,-5.480129537974238
C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))C(O)(C)C(=O)(O),309.992073632,-6.129512344833165
C(=O)(N(=O)(=O))C(=O)OC(=O)C(ON(=O)(=O))C(O)C(=O)(O),295.976423568,-5.289447835154163
