index,SMILES,InChIKey,pSat_Pa,ChemPot_kJmol,FreeEnergy_kJmol,HeatOfVap_kJmol,MW,NumOfAtoms,NumOfC,NumOfO,NumOfN,NumHBondDonors,NumOfConf,NumOfConfUsed,parentspecies,C=C (non-aromatic),C=C-C=O in non-aromatic ring,hydroxyl (alkyl),aldehyde,ketone,carboxylic acid,ester,ether (alicyclic),nitrate,nitro,aromatic hydroxyl,carbonylperoxynitrate,peroxide,hydroperoxide,carbonylperoxyacid,nitroester
12,C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(O)C(=O)(O),VQPGYJQNBPHLTO-UHFFFAOYSA-N,5.9313691399999996e-05,14.83587824,-2530554.29988352,116.52071808000002,234.99643074000002,21,6,9,1,3,258.0,32.0,toluene,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0
13,C(=O)(N(=O)(=O))C(=O)C(=O)C(O)C(OO)C(=O)(O),IMDXRIHASZRQRS-UHFFFAOYSA-N,7.10911441e-06,16.53709264,-2727923.9177944,125.65058264,250.99134536000003,22,6,10,1,3,465.0,37.0,toluene,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0
14,C(=O)(N(=O)(=O))C(=O)C(=O)C(OO),ZNWCZRUYXSHIOL-UHFFFAOYSA-N,29.237999999999996,20.41327576,-1931657.50672224,63.33542552,176.99095143600002,15,4,7,1,1,21.0,17.0,toluene,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0
15,C(=O)(N(=O)(=O))C(=O)C(=O)C(OO)C(=O)C,PRYKDDKZLFGKKW-UHFFFAOYSA-N,0.7820201440000001,18.37901496,-2332634.3432145603,75.44634824,219.00151612000002,20,6,8,1,1,63.0,39.0,toluene,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0
16,C(=O)(N(=O)(=O))C(=O)C(=O)C(OO)C(O)C(=O)(O),MTSUKAMVUNBMGJ-UHFFFAOYSA-N,0.000146573025,17.74179176,-2727919.96441648,115.94035543999999,250.99134536000003,22,6,10,1,3,442.0,40.0,toluene,0,0,1,0,2,1,0,0,0,1,0,0,0,1,0,0
17,C(=O)(N(=O)(=O))C(=O)C(=O)C1OOC(=O)C1(O)C(ON(=O)(=O)),LPUAITNOQZKDJY-UHFFFAOYSA-N,0.08970512189999999,14.46040608,-3365130.7722034403,88.78297375999999,307.976423568,25,7,12,2,1,86.0,40.0,toluene,0,0,1,0,3,0,0,0,1,1,0,0,1,0,0,0
18,C(=O)(N(=O)(=O))C(=O)C(=O)C1OOC(=O)C1(O)C(OO),ORZVYHSFHDAJNB-UHFFFAOYSA-N,0.0053399592,16.28345856,-3025344.3224622407,100.18462480000001,278.98625998,24,7,11,1,2,189.0,40.0,toluene,0,0,1,0,3,0,0,0,0,1,0,0,1,1,0,0
19,C(=O)(N(=O)(=O))C(=O)C(=O)C=CC(=O)(OO),HYUDMFRZJWGQNI-UHFFFAOYSA-N,0.07923577030000001,17.262305360000003,-2329478.08884096,89.83315776,216.98586605600002,18,6,8,1,1,7.0,4.0,toluene,1,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0
20,C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(=O)C,AQZXJQVBIQVMHX-UHFFFAOYSA-N,53.213,18.5959972,-2329731.91948528,61.25095672,216.98586605600002,18,6,8,1,0,7.0,7.0,toluene,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1
21,C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(=O)C(OO),KLCNCZSBPLNTSZ-UHFFFAOYSA-N,11.395,22.7032208,-2724683.2654464003,73.68003080000001,248.97569529600003,20,6,10,1,1,36.0,21.0,toluene,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,1
22,C(=O)(N(=O)(=O))C(=O)C(=O)OC(=O)C(OO),MNYBGQVWYZFGLQ-UHFFFAOYSA-N,2.8209999999999997,21.559691760000003,-2427019.33607936,76.3948192,220.98078067600002,18,5,9,1,1,25.0,21.0,toluene,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1
23,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(O))C(=O),VTWDWJWBPIUWLC-UHFFFAOYSA-N,0.014377655199999999,14.11811304,-2727848.9361212,95.9280324,250.99134536000003,22,6,10,1,2,328.0,40.0,toluene,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1
24,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(ON(=O)(=O)))C(=O),SZTWJLVZLRFTOM-UHFFFAOYSA-N,0.148114128,14.905081599999999,-3265011.6292209597,86.12241,295.976423568,24,6,12,2,1,228.0,40.0,toluene,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1
25,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C(OO))C(=O),JMHLVZASRJVHPX-UHFFFAOYSA-N,0.00755094937,16.85595528,-2925227.4380448,99.03126336,266.98625998000006,23,6,11,1,2,397.0,40.0,toluene,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,1
26,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O),NDQXATLEGCYBRI-UHFFFAOYSA-N,1.087,15.30490464,-2530262.9875028,75.79801344,234.99643074000002,21,6,9,1,1,55.0,38.0,toluene,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
27,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(O),SRFXIEYXWHHUOX-UHFFFAOYSA-N,0.022793284,15.93380168,-2727968.07058408,94.02824536,250.99134536000003,22,6,10,1,2,134.0,40.0,toluene,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1
28,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(OO),UMYSHOSISCTVGX-UHFFFAOYSA-N,0.213246949,19.06887288,-2925317.22413256,82.82064824000001,266.98625998000006,23,6,11,1,2,70.0,13.0,toluene,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
29,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)(C)C(=O)(OON(=O)(=O)),HMNITIKYESOZCE-UHFFFAOYSA-N,2.166,15.174656720000003,-3462491.5641076,76.7515052,311.971338188,25,6,13,2,1,85.0,40.0,toluene,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
30,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O),PMLYZHHOSWWMLA-UHFFFAOYSA-N,1.63,19.06113248,-2426976.75341936,74.9419252,220.98078067600002,18,5,9,1,1,51.0,36.0,toluene,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
31,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)(OO),PFUXSBZGOCVFKH-UHFFFAOYSA-N,0.013629765299999997,20.362398320000004,-2822033.99817776,96.07593680000001,252.97060991600003,20,5,11,1,2,62.0,16.0,toluene,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1
32,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)(OON(=O)(=O)),OCKMQOOJMJMVRH-UHFFFAOYSA-N,4.709,17.646982320000003,-3359205.92641152,75.95286328000002,297.955688124,22,5,13,2,1,61.0,40.0,toluene,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
33,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)C(ON(=O)(=O)),FLMKIFWUTYVUAP-UHFFFAOYSA-N,0.0602625377,19.17794976,-3265040.9139156,91.14166192,295.976423568,24,6,12,2,1,215.0,40.0,toluene,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,1
34,C(=O)(N(=O)(=O))C(=O)C(=O)OC(OO)C(=O)C(OO),GKZRFTOMYOVUCW-UHFFFAOYSA-N,0.0116045075,19.44145808,-2925242.58257672,98.51378624000002,266.98625998000006,23,6,11,1,2,352.0,40.0,toluene,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1
37,C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O)(O))C(=O)C,SVWQOWTWAUQQQI-UHFFFAOYSA-N,0.00040850365599999993,18.72720744,-2828048.0170596,107.68758280000002,262.9913453600001,23,7,10,1,1,90.0,40.0,toluene,0,0,0,0,3,1,0,0,0,1,0,0,1,0,0,0
38,C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O)(OO))C(=O)C,PDSCLPILBTUBDH-UHFFFAOYSA-N,0.006490711389999999,20.53226872,-3025398.48706184,95.98351224,278.98625998000006,24,7,11,1,1,67.0,27.0,toluene,0,0,0,0,3,0,0,0,0,1,0,0,1,0,1,0
39,C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O),ZDROZSQKKKWIOU-UHFFFAOYSA-N,0.292795184,21.44442256,-2527028.2417076,77.6454168,232.98078067600002,19,6,9,1,0,28.0,28.0,toluene,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0
41,C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O)C(O),UJACRKXECFLJQJ-UHFFFAOYSA-N,0.01714295,17.88798072,-2827921.30332256,94.74596872,262.99134536,23,7,10,1,1,127.0,21.0,toluene,0,0,1,1,3,0,0,0,0,1,0,0,1,0,0,0
42,C(=O)(N(=O)(=O))C(=O)C(=O)OOC(C(=O))C(=O)C(ON(=O)(=O)),BOPPTHBKWDGEDC-UHFFFAOYSA-N,0.055753570399999994,20.36658232,-3365086.95087024,91.19944296,307.976423568,25,7,12,2,0,115.0,39.0,toluene,0,0,0,1,3,0,0,0,1,1,0,0,1,0,0,0
43,C(=O)(N(=O)(=O))C(=O)C(C(=O)(O))OOC(=O),UZSIDEVLBGMMCT-UHFFFAOYSA-N,0.00350700388,20.0771332,-2427087.66916736,99.75149712,220.98078067600002,18,5,9,1,1,79.0,40.0,toluene,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0
44,C(=O)(N(=O)(=O))C(=O)C(C(=O)(O))OOC(=O)C(=O),ATORURXNPJWHNN-UHFFFAOYSA-N,0.0023928527,22.90597744,-2724742.4036504803,100.06353984,248.97569529600003,20,6,10,1,1,66.0,28.0,toluene,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0
45,C(=O)(N(=O)(=O))C(=O)C(C(=O))OOC(=O)C(=O),ULMKREJRWGBNMO-UHFFFAOYSA-N,0.117113188,23.87089152,-2527033.54731248,83.1982124,232.98078067600002,19,6,9,1,0,27.0,27.0,toluene,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0
46,C(=O)(N(=O)(=O))C(=O)C(C(=O)C(ON(=O)(=O)))OOC(=O)C(=O),PNHGNXJAIHGNFC-UHFFFAOYSA-N,0.008737764919999998,24.433932400000003,-3365098.01407752,96.51914792,307.976423568,25,7,12,2,0,93.0,40.0,toluene,0,0,0,1,3,0,0,0,1,1,0,0,1,0,0,0
47,C(=O)(N(=O)(=O))C(=O)C(C(O))(C(=O))OOC(=O),GDUHKCXQIQAMMP-UHFFFAOYSA-N,0.027710040499999998,18.83670272,-2530253.5183995203,90.05687624000001,234.99643074000002,21,6,9,1,1,161.0,40.0,toluene,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0
48,C(=O)(N(=O)(=O))C(=O)C(C(O))(C(=O))OOC(=O)C(=O),CJSJBUPPTCBIPM-UHFFFAOYSA-N,0.0037803615600000002,21.10300816,-2827911.08779368,99.61229544,262.99134536,23,7,10,1,1,159.0,27.0,toluene,0,0,1,2,2,0,0,0,0,1,0,0,1,0,0,0
49,C(=O)(N(=O)(=O))C(=O)C(C(O))C(=O),OICOPMFAOMLUEO-UHFFFAOYSA-N,0.048260588199999996,16.73507952,-1837576.18928872,84.2674336,175.01168688,17,5,6,1,1,29.0,22.0,toluene,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
50,C(=O)(N(=O)(=O))C(=O)C(C(ON(=O)(=O)))(C(=O))OOC(=O)C(=O),VSCZXNWYBREIDQ-UHFFFAOYSA-N,0.0628239414,21.28271096,-3365066.93407032,90.31908752,307.976423568,25,7,12,2,0,51.0,27.0,toluene,0,0,0,2,2,0,0,0,1,1,0,0,1,0,0,0
51,C(=O)(N(=O)(=O))C(=O)C(C(OO))(C(=O))OOC(=O),ZJEUWMQEFYTFSD-UHFFFAOYSA-N,0.0037043760700000003,19.25188104,-2727632.60327984,100.77862728000001,250.99134536000003,22,6,10,1,1,194.0,40.0,toluene,0,0,0,2,1,0,0,0,0,1,0,0,1,1,0,0
52,C(=O)(N(=O)(=O))C(=O)C(C(OO))(C(=O))OOC(=O)C(=O),QLVXFEBMRWZQQL-UHFFFAOYSA-N,0.000716721854,21.672743439999998,-3025289.9240188804,107.40633432,278.98625998000006,24,7,11,1,1,208.0,28.0,toluene,0,0,0,2,2,0,0,0,0,1,0,0,1,1,0,0
53,C(=O)(N(=O)(=O))C(=O)C(C(OO))C(=O),RVRDSOFGUTWUHW-UHFFFAOYSA-N,0.014942784899999999,19.4177348,-2034960.32429888,88.52933968,191.00660150000002,18,5,7,1,1,61.0,40.0,toluene,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
54,C(=O)(N(=O)(=O))C(=O)C(C(OO))C(=O)OOC(=O),WWZYAHBDIDCVJC-UHFFFAOYSA-N,0.019545465499999998,20.61343832,-2727732.92191816,91.98858720000001,250.99134536000003,22,6,10,1,1,156.0,40.0,toluene,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0
55,C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(O))OOC(=O),ZWCQITZNEGMQNY-UHFFFAOYSA-N,0.00299518346,16.730644480000002,-2530374.38152384,99.36841008,234.99643074000002,21,6,9,1,1,101.0,40.0,toluene,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0
56,C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(O))OOC(=O)C(=O),NGMNOCVIUXRQTM-UHFFFAOYSA-N,0.0009039427699999999,18.9849,-2828032.13756624,106.32397536,262.99134536,23,7,10,1,1,121.0,40.0,toluene,0,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0
57,C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(OO))OOC(=O),REJRCGNPOCCAQS-UHFFFAOYSA-N,0.00432009974,19.11372536,-2727721.65515928,98.62834416,250.99134536000003,22,6,10,1,1,69.0,35.0,toluene,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0
58,C(=O)(N(=O)(=O))C(=O)C(C)(C(=O)(OON(=O)(=O)))OOC(=O),ASZKTCQTEMURGF-UHFFFAOYSA-N,2.293,17.6782368,-3264888.52958128,75.78650744000001,295.976423568,24,6,12,2,0,26.0,26.0,toluene,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0
59,C(=O)(N(=O)(=O))C(=O)C(C)(C(=O))OOC(=O),BWJGLCCJABJSRB-UHFFFAOYSA-N,0.729061395,19.87236824,-2332661.92535592,76.09591424000001,219.00151612000002,20,6,8,1,0,22.0,22.0,toluene,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0
60,C(=O)(N(=O)(=O))C(=O)C(C)(C(=O))OOC(=O)C(=O),PXMJHMBYYPDMNL-UHFFFAOYSA-N,0.09183919280000001,21.336056960000004,-2630320.2659449596,86.42583368000001,246.99643074000002,22,7,9,1,0,18.0,18.0,toluene,0,0,0,2,2,0,0,0,0,1,0,0,1,0,0,0
61,C(=O)(N(=O)(=O))C(=O)C(C)C(=O)(O),IVFKOQVCQLELOG-UHFFFAOYSA-N,0.32920103100000003,16.63386856,-1837689.22239176,79.70699911999999,175.01168688,17,5,6,1,1,18.0,9.0,toluene,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
62,C(=O)(N(=O)(=O))C(=O)C(C)C(=O)(OO),KIDCAGZOOCLYIC-UHFFFAOYSA-N,0.0722004939,17.398578240000003,-2035040.6267230401,83.28494672000001,191.00660150000002,18,5,7,1,1,16.0,6.0,toluene,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
63,C(=O)(N(=O)(=O))C(=O)C(C)C(=O)C(=O)C(=O)(OON(=O)(=O)),PXSJMJKAMJTPJK-UHFFFAOYSA-N,21.911,15.101896960000001,-3167545.8346068,71.18937928000001,291.981508948,24,7,11,2,0,29.0,29.0,toluene,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0
64,C(=O)(N(=O)(=O))C(=O)C(C)C(=O)OOC(=O),ABBUWINGUVTLSJ-UHFFFAOYSA-N,3.846,17.1876628,-2332754.0693368805,70.11446784,219.00151612000002,20,6,8,1,0,24.0,24.0,toluene,0,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0
65,C(=O)(N(=O)(=O))C(=O)C(C1(O))OOC1(C(=O)(O))C(=O),YBBYCDOSCLKBRZ-UHFFFAOYSA-N,4.829945470000001e-05,14.858095279999999,-2827995.71760352,116.08395032000001,262.99134536,23,7,10,1,2,109.0,36.0,toluene,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0
66,C(=O)(N(=O)(=O))C(=O)C(N(=O)(=O))(C1(O))OOC1C(=O)(OO),VHCWERMWXPJXIA-UHFFFAOYSA-N,0.000528624924,16.30743288,-3264918.72295704,107.01098816,295.976423568,24,6,12,2,2,62.0,21.0,toluene,0,0,1,0,1,0,0,0,0,2,0,0,1,0,1,0
68,C(=O)(N(=O)(=O))C(=O)C(O)(C(=O)(O))C(=O),JBCYDYSFTFQZDE-UHFFFAOYSA-N,1.3219999999999998,19.084813920000002,-2229662.5418356,78.29460624,204.98586605600002,17,5,8,1,2,39.0,5.0,toluene,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
69,C(=O)(N(=O)(=O))C(=O)C(O)(C(=O)(O))C(OO),ARTLNZSRJNXZJT-UHFFFAOYSA-N,0.0004492230059999999,18.880174479999997,-2430247.00869704,107.98196904000001,222.99643074000002,20,5,9,1,3,253.0,20.0,toluene,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0
70,C(=O)(N(=O)(=O))C(=O)C(O)(C(=O)(OO))C(=O),BPSDWRNWHAIXFY-UHFFFAOYSA-N,5.672000000000001,21.954828720000005,-2427007.79861568,73.36137736,220.98078067600002,18,5,9,1,2,29.0,5.0,toluene,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0
71,C(=O)(N(=O)(=O))C(=O)C(O)(C(=O))OOC(=O),GEPLKAHMFYXZLT-UHFFFAOYSA-N,2.457,17.768234640000003,-2426988.37594376,73.78914952,220.98078067600002,18,5,9,1,1,68.0,28.0,toluene,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0
72,C(=O)(N(=O)(=O))C(=O)C(O)(C(=O))OOC(=O)C(=O),WGLKWKJQLAATDB-UHFFFAOYSA-N,0.482333077,19.7309072,-2724642.7657071203,81.46591088,248.97569529600003,20,6,10,1,1,71.0,22.0,toluene,0,0,1,2,2,0,0,0,0,1,0,0,1,0,0,0
73,C(=O)(N(=O)(=O))C(=O)C(O)(C(ON(=O)(=O)))C(=O)(OO),ZSELPJMPTCELSQ-UHFFFAOYSA-N,0.250520462,19.29455784,-2967384.2598132803,82.992778,267.981508948,22,5,11,2,2,90.0,21.0,toluene,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
74,C(=O)(N(=O)(=O))C(=O)C(O)(C(OO))C(=O)(OO),ICUHRDPDBBMJKN-UHFFFAOYSA-N,0.000268718188,20.281814479999998,-2627596.33985632,103.96449224000001,238.99134536000003,21,5,10,1,3,205.0,19.0,toluene,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0
75,C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O),UPELFIZEWGPBIM-UHFFFAOYSA-N,364.68800000000005,16.80030808,-1837574.44744768,52.20050448,175.01168688,17,5,6,1,1,15.0,11.0,toluene,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
76,C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)(O),QXZSYAJJPDOEEY-UHFFFAOYSA-N,0.08318621970000001,17.60300848,-2035280.1712667202,85.35263768,191.00660150000002,18,5,7,1,2,28.0,6.0,toluene,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
77,C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)(OO),SKEFGWUWDMVMKU-UHFFFAOYSA-N,23.328,18.10831016,-2232631.3383652,66.81404496,207.00151612000002,19,5,8,1,2,22.0,6.0,toluene,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
78,C(=O)(N(=O)(=O))C(=O)C(O)(C)C(=O)OOC(=O),FLPXLOCLQIIURP-UHFFFAOYSA-N,6.922000000000001,17.239502560000002,-2530344.5511937602,69.50444064,234.99643074000002,21,6,9,1,1,52.0,30.0,toluene,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0
79,C(=O)(N(=O)(=O))C(=O)C(O)(C1(=O))OOC1C(=O),NABGTGXBGFIRDF-UHFFFAOYSA-N,0.571298774,18.429390320000003,-2527039.0427454403,77.0094488,232.98078067600002,19,6,9,1,1,16.0,9.0,toluene,0,0,1,1,2,0,0,0,0,1,0,0,1,0,0,0
80,C(=O)(N(=O)(=O))C(=O)C(O)(C1(O))OOC1C(=O),CHTZMYZQIZPYAT-UHFFFAOYSA-N,0.012378109899999998,13.9559412,-2530256.6807085597,96.46333336000001,234.99643074000002,21,6,9,1,2,60.0,32.0,toluene,0,0,2,1,1,0,0,0,0,1,0,0,1,0,0,0
81,C(=O)(N(=O)(=O))C(=O)C(O)(C1(O)C(OO))OOC1C(=O),GAVLCKJLPXNNPH-UHFFFAOYSA-N,9.462017739999999e-06,13.75075784,-3028501.14523224,129.07527032,281.00191004400006,26,7,11,1,3,315.0,22.0,toluene,0,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0
82,C(=O)(N(=O)(=O))C(=O)C(O)(ON(=O)(=O))C(O)(C)C(=O)C(=O),OFVNCDQJSSXHGI-UHFFFAOYSA-N,2.7096695799999997e-05,14.674041120000002,-3170869.7690982404,115.3618756,293.997159012,26,7,11,2,2,175.0,3.0,toluene,0,0,2,1,2,0,0,0,1,1,0,0,0,0,0,0
83,C(=O)(N(=O)(=O))C(=O)C(O)(OO)C(O)(C)C(=O)C(=O),WTADUTGFDPHSNX-UHFFFAOYSA-N,7.850711640000002e-05,13.14001936,-2831102.17651952,110.02773583999999,265.006995424,25,7,10,1,3,294.0,6.0,toluene,0,0,2,1,2,0,0,0,0,1,0,0,0,1,0,0
84,C(=O)(N(=O)(=O))C(=O)C(O)(OO)C(O)C(=O)C(=O),VXTOFYSBYMNPNL-UHFFFAOYSA-N,0.004645672570000001,16.384878720000003,-2727830.0774106407,102.38515776,250.99134536000003,22,6,10,1,3,322.0,12.0,toluene,0,0,2,1,2,0,0,0,0,1,0,0,0,1,0,0
85,C(=O)(N(=O)(=O))C(=O)C(O)C(=O),NRKIFYMSWQMFKG-UHFFFAOYSA-N,272.67,19.30844872,-1734291.01580744,54.70337328,160.99603681600001,14,4,6,1,1,10.0,7.0,toluene,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
86,C(=O)(N(=O)(=O))C(=O)C(O)C(=O)(O),VDUDIYGHQKMFPL-UHFFFAOYSA-N,0.18841174100000002,17.99835464,-1932000.70928016,84.41253472,176.99095143600002,15,4,7,1,2,24.0,6.0,toluene,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
87,C(=O)(N(=O)(=O))C(=O)C(O)C(=O)(OO),ZBTKKCFDEYDWQK-UHFFFAOYSA-N,0.11176901199999999,19.4463952,-2129349.86860256,85.88760392,192.98586605600002,16,4,8,1,2,24.0,8.0,toluene,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0
