ID,E_LUMO,E_HOMO,electronegativity,hardness,gap,dipole_moment,V1_frequency,V1_intensity,V2_frequency,V2_intensity,V3_frequency,V3_intensity,V4_frequency,V4_intensity,V5_frequency,V5_intensity,V6_frequency,V6_intensity,V7_frequency,V7_intensity,V8_frequency,V8_intensity,V9_frequency,V9_intensity,V10_frequency,V10_intensity
Bromide_25,-1.1731,-6.8772,4.02515,2.85205,5.7041,2.214337742,0.190425,0.019289,101.66,0.17,209.38,0.06,293.23,2.37,295.49,0.56,377.33,3.76,422.59,4.58,493.22,7.34,619.65,4.95,646.16,4.65
Bromide_26,-1.6687,-7.1661,4.4174,2.7487,5.4974,0.055638825,0.197028,0.019645,17.67,0.31,94.78,0.13,206.49,0.04,298.78,2.52,301.56,3.56,387.25,8.11,416.43,0.01,481.16,2.46,642.25,2.27
Bromide_27,-1.2548,-5.8028,3.5288000000000004,2.274,4.548,2.840701036,0.086875,0.006499,15.75,0.02,64.79,0.92,89.36,0.0,116.32,0.43,138.36,1.13,220.14,1.08,247.46,1.53,262.28,2.1,270.15,0.07
Bromide_28,-1.3496,-5.956,3.6528,2.3032000000000004,4.606400000000001,2.782252396,0.07432,0.016481,117.46,0.01,152.82,0.57,213.07,0.54,280.43,0.32,333.87,0.22,434.11,11.74,480.79,4.0,582.33,0.77,584.18,1.37
Bromide_29,-1.8094,-7.401,4.6052,2.7958,5.5916,0.846835824,0.203466,0.028618,166.04,0.29,241.66,1.26,321.38,2.41,416.87,0.0,432.11,0.45,629.04,15.71,739.12,28.62,745.32,5.09,930.23,4.92
Bromide_30,-1.0986,-6.2379,3.66825,2.5696499999999998,5.1392999999999995,1.548051606,0.0332,0.006758,1.15,0.0,35.66,1.61,73.46,0.59,161.99,1.1,214.66,1.38,223.24,0.01,278.48,1.35,281.15,0.01,298.54,1.74
Bromide_31,-0.7235,-6.5273,3.6254,2.9019000000000004,5.803800000000001,1.277291764,0.0969,0.023314,135.22,0.12,178.73,0.06,182.75,0.48,243.49,4.69,290.92,1.06,396.12,0.04,475.92,1.37,554.23,0.89,640.45,0.04
Bromide_32,-1.3518,-6.8792,4.1155,2.7637,5.5274,2.540557997,0.249633,0.027915,188.56,1.65,251.51,1.37,324.26,1.07,493.71,2.96,634.52,2.57,665.29,0.07,741.59,8.35,804.09,5.98,827.3,41.18
Bromide_33,-1.0859,-6.5627,3.8243,2.7384000000000004,5.476800000000001,1.974015439,0.067364,0.01713,106.54,5.7,149.22,1.53,156.82,2.59,171.15,0.58,240.52,0.12,302.66,4.87,311.08,6.43,459.44,0.01,467.34,0.85
Bromide_34,-1.3178,-7.1164,4.2171,2.8992999999999998,5.7985999999999995,3.417225024,0.197788,0.02876,158.59,1.17,258.72,1.54,309.96,5.68,417.91,4.24,484.19,3.79,625.24,2.95,714.54,33.55,752.69,2.48,778.45,53.02
Bromide_35,-2.9077,-7.4584,5.18305,2.27535,4.5507,3.974987945,0.070672,0.013002,43.55,0.21,146.37,1.27,148.05,0.49,188.89,0.97,294.72,2.05,315.76,0.24,400.51,1.33,435.38,0.9,505.06,4.05
Bromide_36,-1.7145,-6.1539,3.9342,2.2197,4.4394,2.549825194,0.102201,0.016022,94.81,6.01,169.5,2.14,192.03,0.92,275.78,1.26,287.57,0.21,369.6,6.94,418.4,3.19,472.19,14.22,522.75,8.61
Bromide_37,-1.6791,-6.4928,4.08595,2.40685,4.8137,3.370716482,0.051525,0.008196,65.53,3.58,110.39,0.94,122.99,0.87,140.77,0.22,160.08,2.25,260.09,0.27,263.82,1.8,295.35,0.0,315.3,2.27
