Num,Volume,Overall_surface,Fast_dis,Radius,Lengh_X,Lengh_Y,Lengh_Z,Mulliken,Hardness,Ele_ind,Softness,Nuc_ind,Dipole X,Dipole Y,Dipole Z,Dipole Tot,HOMO(a.u.),HOMO(eV),LUMO(a.u.),LUMO(eV),gap(a.u.),gap(eV),Cavity surface area,Cavity volume,1_Ele,2_Ele,3_Ele,4_Ele,5_Ele,1_Nuc,2_Nuc,3_Nuc,4_Nuc,5_Nuc,1_Population,1_Net charge,1_Effective V,1_polarizabilities,1_Isotropic,1_Anisotropy,2_Population,2_Net charge,2_Effective V,2_polarizabilities,2_Isotropic,2_Anisotropy,3_Population,3_Net charge,3_Effective V,3_polarizabilities,3_Isotropic,3_Anisotropy,4_Population,4_Net charge,4_Effective V,4_polarizabilities,4_Isotropic,4_Anisotropy,5_Population,5_Net charge,5_Effective V,5_polarizabilities,5_Isotropic,5_Anisotropy,1_NBO,2_NBO,3_NBO,4_NBO,5_NBO,Volume (right),Overall_surface (right),Fast_dis (right),Radius (right),Lengh_X (right),Lengh_Y (right),Lengh_Z (right),Mulliken (right),Hardness (right),Ele_ind (right),Softness (right),Nuc_ind (right),Dipole X (right),Dipole Y (right),Dipole Z (right),Dipole Tot (right),HOMO(a.u.) (right),HOMO(eV) (right),LUMO(a.u.) (right),LUMO(eV) (right),gap(a.u.) (right),gap(eV) (right),Temp (K),∆∆G (Kcal/mol)
11,2088.31026,1114.34481,11.888,7.144,14.098,9.102,6.696,0.105176,0.382276,0.014469,2.615908,0.099869,1.0284,-0.2977,0.813,1.3443,-0.235329,-6.403622,0.025551,0.695284,0.26088,7.098905,329.029,308.565,0.02981,0.01206,0.0062,0.00628,0.03218,0.09321,0.24214,0.06305,0.05515,0.26362,5.40066192,0.59933808,30.636,11.471,26.5727,70.2573,8.50048916,-0.50048916,20.202,5.376,158.3822,173.3377,6.06227409,-0.06227409,28.508,10.674,119.3569,69.079,6.01848008,-0.01848008,29.817,11.164,119.3848,38.1521,7.47774029,-0.47774029,24.633,7.231,37.331,262.412,0.52155,-0.52565,-0.12714,-0.13738,-0.46643,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.246877822760553
12,1900.71194,1032.80191,13.74,8.07,16.093,8.41,6.138,0.143543,0.275475,0.037398,3.630097,0.105108,1.307,-1.6317,-1.1002,2.3625,-0.230089,-6.261032,-0.06498,-1.768188,0.165109,4.492845,302.132,288.383,0.03732,0.01846,0.01311,0.01305,0.06106,0.07222,0.10034,0.0459,0.04185,0.14985,5.46875548,0.53124452,30.112,11.274,32.4719,64.9925,8.51410478,-0.51410478,20.067,5.34,159.3665,187.8736,6.04698053,-0.04698053,28.34,10.611,116.1431,68.226,6.10212838,-0.10212838,29.703,11.121,118.6095,54.4663,7.44727221,-0.44727221,24.832,7.29,28.4048,268.8626,0.54353,-0.52402,0.06499,-0.30089,-0.49797,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.321663611837286
13,1778.02631,989.02268,13.044,7.857,15.686,8.425,5.413,0.153838,0.297524,0.039772,3.361078,0.092714,1.5708,2.4648,-1.3282,3.2104,-0.242484,-6.598314,-0.06975,-1.898007,0.172733,4.700307,302.675,285.555,0.05921,0.02539,0.01651,0.01744,0.08899,0.10552,0.13483,0.05575,0.04831,0.16993,5.46336983,0.53663017,30.06,11.255,33.2726,66.0797,8.51510771,-0.51510771,20.058,5.338,160.7728,186.3978,6.04840459,-0.04840459,28.299,10.595,115.9103,68.7565,6.10469816,-0.10469816,29.67,11.109,118.3497,54.1504,7.44081972,-0.44081972,24.784,7.276,22.0511,278.9212,0.55024,-0.51709,-0.12696,-0.11065,-0.51773,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.48151792354024
14,2213.3654,1187.37848,12.099,7.25,14.366,10.896,7.654,0.137394,0.301137,0.031343,3.320749,0.100408,0.0634,2.0034,-0.0172,2.0044,-0.234789,-6.388922,-0.0476,-1.295252,0.187189,5.09367,352.837,334.365,0.02469,0.01406,0.01139,0.00981,0.04295,0.09462,0.13837,0.04549,0.04751,0.23254,5.4753759,0.5246241,30.189,11.303,35.8097,65.1218,8.52088008,-0.52088008,20.103,5.35,162.6102,179.6473,6.05765207,-0.05765207,28.516,10.677,124.6667,76.6007,6.02036297,-0.02036297,29.819,11.165,117.3202,53.2755,7.44063703,-0.44063703,24.855,7.296,19.0395,280.5322,0.3962,-0.4657,-0.09023,-0.26697,-0.48732,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.19037287174361
15,1913.33125,1062.00322,14.365,8.518,16.8,6.628,6.882,0.141619,0.270503,0.037072,3.696823,0.121169,3.3362,0.6793,-0.1689,3.4088,-0.214028,-5.823986,-0.067754,-1.843686,0.146273,3.980299,325.12,302.547,0.03889,0.03907,0.05293,0.02692,0.06565,0.1328,0.08683,0.15741,0.10116,0.09301,5.49151823,0.50848177,30.169,11.296,35.9469,72.9581,8.42943645,-0.42943645,20.099,5.349,38.3372,281.758,5.95782822,0.04217178,29.073,10.885,56.4876,91.3285,5.76141174,0.23858826,30.348,11.363,50.7288,104.826,7.51435453,-0.51435453,24.821,7.286,-4.7568,349.3402,0.55424,-0.51609,-0.12175,-0.10904,-0.52296,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.577108402903819
16,2519.15731,1243.73858,11.706,7.053,14.053,10.047,6.966,0.112197,0.369369,0.01704,2.707319,0.098134,0.1747,-0.9665,-1.4978,1.7911,-0.237052,-6.450514,0.014927,0.406187,0.251979,6.856701,375.242,366.259,0.03983,0.01488,0.00728,0.0073,0.04049,0.07292,0.16303,0.04751,0.04818,0.21504,5.43528765,0.56471235,30.31,11.349,25.9987,73.7115,8.49995051,-0.49995051,20.143,5.36,156.7278,172.2297,6.06555588,-0.06555588,28.61,10.712,121.835,76.032,6.01064715,-0.01064715,29.986,11.227,115.5055,43.9678,7.47997807,-0.47997807,24.453,7.178,34.9002,253.2452,0.52274,-0.5127,-0.11593,-0.14046,-0.4868,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.0251748411422778
17,2465.67682,1284.54483,12.978,7.689,15.37,10.904,7.522,0.137355,0.298726,0.031578,3.34755,0.100481,0.0002,2.1369,0,2.1369,-0.234715,-6.386926,-0.048091,-1.308615,0.186625,5.078311,385.313,368.975,0.02586,0.01444,0.01118,0.00923,0.04324,0.0923,0.13562,0.04391,0.04624,0.22296,5.46988927,0.53011073,30.152,11.289,35.8207,66.6041,8.52237183,-0.52237183,20.099,5.349,161.4688,181.2536,6.05747946,-0.05747946,28.547,10.688,123.0126,74.3322,6.01674893,-0.01674893,29.98,11.225,113.0999,44.7796,7.44759555,-0.44759555,24.697,7.25,20.8933,285.9257,0.39329,-0.46847,-0.09097,-0.26478,-0.48405,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.443055652095949
18,2252.81076,1171.34359,11.367,6.883,13.434,9.933,7.706,0.121196,0.326907,0.022466,3.058978,0.101004,0.8435,2.0428,1.8798,2.9014,-0.234195,-6.37277,-0.008825,-0.240143,0.22537,6.132626,345.199,342.101,0.01765,0.00958,0.00614,0.00865,0.01312,0.05619,0.08959,0.0278,0.02907,0.1107,5.47819482,0.52180518,30.294,11.342,32.0412,76.2753,8.48120541,-0.48120541,20.194,5.374,117.2011,161.7874,5.90171404,0.09828596,29.315,10.976,107.3215,49.0228,6.13645397,-0.13645397,29.766,11.145,112.1737,34.6414,7.42760029,-0.42760029,25.007,7.341,31.2895,248.9087,0.53743,-0.50757,-0.12202,-0.22423,-0.50852,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.322770666720969
19,2405.6184,1248.61603,11.857,7.129,14.255,9.98,8.712,0.123913,0.332678,0.023077,3.005906,0.095289,0,-1.714,0,1.714,-0.239908,-6.528238,-0.005564,-0.151398,0.234345,6.376839,366.295,361.397,0.02232,0.00885,0.00618,0.0077,0.02428,0.04272,0.05306,0.02514,0.02432,0.07482,5.42895599,0.57104401,30.382,11.375,25.2269,68.3991,8.49605397,-0.49605397,20.031,5.331,162.0265,195.584,6.05464731,-0.05464731,28.317,10.602,114.7253,62.6265,6.13143215,-0.13143215,29.723,11.128,118.7449,47.2471,7.4533237,-0.4533237,24.69,7.248,31.7528,259.7965,0.51436,-0.51313,-0.1275,-0.21149,-0.45347,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.505177920464726
20,2420.90291,1224.42079,12.97,7.685,15.107,9.288,6.697,0.120652,0.329538,0.022087,3.034554,0.100275,-0.4679,0.1143,1.7121,1.7785,-0.234923,-6.392585,-0.004821,-0.131197,0.230102,6.261388,374.532,364.391,0.01355,0.0069,0.0045,0.00641,0.01671,0.0412,0.09506,0.03303,0.04313,0.10835,5.46402213,0.53597787,30.128,11.28,33.6185,69.7882,8.46848716,-0.46848716,20.213,5.379,150.9263,175.4058,6.05753186,-0.05753186,28.467,10.658,121.2979,72.0604,6.02218192,-0.02218192,29.68,11.112,124.285,46.946,7.44672467,-0.44672467,24.841,7.292,28.8449,240.4204,0.5071,-0.52209,0.07097,-0.10069,-0.46756,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.222427217769986
21,2505.92533,1269.53408,11.298,6.849,13.374,11.19,7.707,0.120365,0.324621,0.022315,3.080518,0.102299,-0.2148,-1.7737,1.6917,2.4605,-0.232898,-6.337477,-0.008694,-0.236577,0.224204,6.1009,373.621,374.608,0.01729,0.00919,0.00596,0.00844,0.01268,0.05589,0.09594,0.02773,0.02875,0.12035,5.44151127,0.55848873,30.534,11.432,26.161,77.7688,8.49803626,-0.49803626,20.104,5.35,122.8099,153.1419,5.89926607,0.10073393,29.299,10.97,107.365,50.2577,6.13547562,-0.13547562,29.757,11.141,112.6125,34.6531,7.44854192,-0.44854192,24.862,7.298,33.7416,251.4898,0.51079,-0.51782,-0.12309,-0.11581,-0.47096,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.298167814724416
22,2582.58773,1365.00742,13.579,7.989,15.877,11.999,7.717,0.112978,0.260316,0.024516,3.841492,0.138722,0.7971,0.4228,0.3492,0.9675,-0.196476,-5.346378,-0.031142,-0.847426,0.165333,4.498952,399.784,388.145,0.01354,0.02121,0.03492,0.01201,0.00372,0.07059,0.0908,0.17956,0.05413,0.01709,5.44096805,0.55903195,30.241,11.323,31.601,80.7978,8.45270625,-0.45270625,19.978,5.317,41.3465,250.9758,5.97882963,0.02117037,29.085,10.89,61.1802,88.1326,5.82130357,0.17869643,30.488,11.415,54.4127,97.8247,7.52377825,-0.52377825,24.766,7.27,9.8849,325.4113,0.50923,-0.5203,-0.12634,-0.09964,-0.46148,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.523801599002088
23,2675.08879,1328.05565,12.637,7.518,14.26,10.6,7.702,0.112977,0.330438,0.019314,3.026282,0.105728,0.61,0.3134,-0.7708,1.0318,-0.22947,-6.24419,0.000994,0.027036,0.230463,6.271226,402.67,396.038,0.01165,0.00841,0.00535,0.00314,0.00493,0.05215,0.10383,0.04032,0.03624,0.06402,5.42269727,0.57730273,30.265,11.331,27.0198,71.7616,8.50208267,-0.50208267,20.078,5.343,163.2836,184.8263,6.05836313,-0.05836313,28.293,10.593,118.261,63.744,6.02057185,-0.02057185,29.697,11.119,121.498,38.6389,7.45679573,-0.45679573,24.724,7.258,32.0262,256.1605,0.50452,-0.52161,-0.1275,-0.11845,-0.46691,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.18198565266904
24,2530.40554,1362.42908,16.005,9.203,18.395,11.189,8.086,0.137592,0.282544,0.033502,3.539266,0.100278,0.5006,1.0186,0.9305,1.4677,-0.234921,-6.392525,-0.053678,-1.460651,0.181243,4.931874,401.348,387.636,0.03027,0.01131,0.01081,0.01144,0.05462,0.05167,0.0665,0.03517,0.0304,0.0926,5.47289819,0.52710181,30.083,11.263,33.2796,65.4961,8.51531987,-0.51531987,20.073,5.342,160.8593,187.6412,6.04712388,-0.04712388,28.338,10.61,116.225,68.3099,6.10122993,-0.10122993,29.686,11.115,118.7034,55.1354,7.44316702,-0.44316702,24.777,7.273,27.1676,272.1345,-0.89738,-0.07495,-0.10304,-0.75118,-0.4775,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.153082264450284
25,2700.79967,1365.71845,11.701,7.05,13.624,12.869,8.704,0.123806,0.330657,0.023178,3.024282,0.095498,0.0157,-1.6945,0.2819,1.7178,-0.239697,-6.522482,-0.005784,-0.157393,0.233913,6.365089,398.05,400.261,0.02542,0.01036,0.00617,0.00734,0.02633,0.04395,0.0597,0.02652,0.02481,0.07803,5.43005887,0.56994113,30.429,11.393,26.9037,70.3174,8.4963004,-0.4963004,20.017,5.327,159.4149,200.9454,6.0550906,-0.0550906,28.322,10.604,115.3368,62.3051,6.12793984,-0.12793984,29.693,11.117,118.7049,48.9915,7.45618101,-0.45618101,24.49,7.189,27.0469,265.5326,0.51173,-0.51774,-0.12395,-0.11177,-0.47137,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.194913396423213
26,2670.39761,1381.24924,13.302,7.851,15.118,10.612,7.485,0.119384,0.323526,0.022027,3.09094,0.101376,-1.0131,-0.5376,1.2104,1.6675,-0.233822,-6.362614,-0.004437,-0.120726,0.229385,6.241888,400.25,399.427,0.00554,0.00647,0.00522,0.00572,0.00144,0.05193,0.08562,0.02312,0.02373,0.09095,5.4273332,0.5726668,30.288,11.34,28.3193,70.138,8.51323237,-0.51323237,20.055,5.337,137.328,159.2405,5.89503203,0.10496797,29.239,10.947,107.1052,55.5527,6.13706981,-0.13706981,29.733,11.132,112.0625,38.3864,7.45888655,-0.45888655,24.942,7.322,30.9151,243.0236,0.59114,-0.54794,-0.12037,-0.10998,-0.51329,1655.89544,920.2488,10.707,6.554,13.044,7.943,7.025,0.130974,0.335219,0.025587,2.983129,0.094551,0.3567,-1.35,-3.008,3.3163,-0.240649,-6.548383,-0.024648,-0.67071,0.216001,5.877674,303.15,0.414217034054634
